"Bill","Year","SC.Position","Dem.House","Dem.Senate","Com.1","Pass.Com.1","Pass.Floor.1","Pass.Com.2","Pass.Floor.2","Pass.Governor"
"HB461",2015,NA,0,0,2,1,1,0,0,0
"HJ506",2015,NA,0,0,12,1,1,1,1,0
"HJ608",2015,NA,0,0,12,1,1,0,0,0
"HB881",2015,NA,0,0,5,0,0,0,0,0
"HB910",2015,NA,0,0,7,0,0,0,0,0
"HB1001",2015,NA,0,0,5,0,0,0,0,0
"HB1059",2015,NA,0,0,5,1,1,0,0,0
"HB1228",2015,NA,0,0,5,0,0,0,0,0
"HB1234",2015,NA,0,0,2,0,0,0,0,0
"HB1297",2015,NA,0,0,7,1,1,1,1,1
"HB1345",2015,NA,0,0,7,1,1,1,1,1
"HB1364",2015,NA,0,0,2,1,1,1,1,1
"HB1446",2015,NA,0,0,3,1,1,1,1,1
"HB1475",2015,NA,0,0,5,1,1,1,1,1
"HB1488",2015,NA,0,0,2,1,1,1,1,1
"HB1622",2015,NA,0,0,5,0,0,0,0,0
"HB1636",2015,NA,0,0,5,0,0,0,0,0
"HB1650",2015,NA,0,0,2,0,0,0,0,0
"HB1651",2015,NA,0,0,7,0,0,0,0,0
"HB1665",2015,NA,0,0,2,0,0,0,0,0
"HB1705",2015,NA,0,0,7,1,1,1,1,1
"HB1709",2015,NA,0,0,1,0,0,0,0,0
"HB1725",2015,NA,0,0,5,0,0,0,0,0
"HB1728",2015,NA,0,0,7,0,0,0,0,0
"HB1729",2015,NA,0,0,5,0,0,0,0,0
"HB1730",2015,NA,0,0,5,0,0,0,0,0
"HB1731",2015,NA,0,0,8,0,0,0,0,0
"HB1778",2015,NA,0,0,7,0,0,0,0,0
"HB1817",2015,NA,0,0,2,1,1,1,1,1
"HB1843",2015,NA,0,0,7,1,1,1,1,1
"HB1846",2015,NA,0,0,2,0,0,0,0,0
"HB1911",2015,NA,0,0,5,0,0,0,0,0
"HB1912",2015,NA,0,0,5,0,0,0,0,0
"HB1913",2015,NA,0,0,5,0,0,0,0,0
"HB1925",2015,NA,0,0,5,0,0,0,0,0
"HB1950",2015,NA,0,0,5,1,1,1,1,1
"HB2058",2015,NA,0,0,2,1,1,1,1,1
"HB2073",2015,NA,0,0,5,0,0,0,0,0
"HB2075",2015,NA,0,0,5,0,0,0,0,0
"HB2155",2015,NA,0,0,5,0,0,0,0,0
"HB2205",2015,NA,0,0,5,0,0,0,0,0
"HB2219",2015,NA,0,0,5,0,0,0,0,0
"HB2237",2015,NA,0,0,5,1,1,1,1,1
"HB2244",2015,NA,0,0,5,1,1,0,0,0
"HB2267",2015,NA,0,0,5,1,1,1,1,1
"HB2274",2015,NA,0,0,5,1,1,0,0,0
"HB2282",2015,NA,0,0,7,0,0,0,0,0
"HB2291",2015,NA,0,0,5,1,0,0,0,0
"HB2334",2015,NA,0,0,5,0,0,0,0,0
"HB2352",2015,NA,0,0,5,0,0,0,0,0
"SJ271",2015,NA,0,0,23,1,1,1,1,0
"SJ291",2015,NA,0,0,23,1,0,0,0,0
"SJ294",2015,NA,0,0,23,0,0,0,0,0
"SJ308",2015,NA,0,0,23,0,0,0,0,0
"SB350 ",2015,NA,0,0,17,0,0,0,0,0
"SB505",2015,NA,0,0,24,0,0,0,0,0
"SB740",2015,NA,0,0,23,0,0,0,0,0
"SB764",2015,NA,0,0,17,0,0,0,0,0
"SB778",2015,NA,0,0,24,1,1,1,1,1
"SB801",2015,NA,0,0,21,1,1,1,1,1
"SB833",2015,NA,0,0,17,0,0,0,0,0
"SB1037",2015,NA,0,0,19,1,1,1,1,1
"SB1079",2015,NA,0,0,14,1,1,1,1,1
"SB1099",2015,NA,0,0,17,1,1,1,1,1
"SB1160",2015,NA,0,0,17,0,0,0,0,0
"SB1163",2015,NA,0,0,17,1,1,1,1,1
"SB1169",2015,NA,0,0,17,0,0,0,0,0
"SB1202",2015,NA,0,0,14,0,0,0,0,0
"SB1246",2015,NA,0,0,24,0,0,0,0,0
"SB1266",2015,NA,0,0,14,0,0,0,0,0
"SB1308",2015,NA,0,0,19,1,1,1,1,1
"SB1323",2015,NA,0,0,23,0,0,0,0,0
"SB1331",2015,NA,0,0,17,1,1,1,1,1
"SB1334",2015,NA,0,0,17,1,1,1,1,1
"SB1338",2015,NA,0,0,17,0,0,0,0,0
"SB1343",2015,NA,0,0,23,0,0,0,0,0
"SB1349",2015,NA,0,0,17,1,1,1,1,1
"SB1365",2015,NA,0,0,14,1,1,1,1,0
"SB1395",2015,NA,0,0,17,1,1,1,1,1
"SB1396",2015,NA,0,0,21,0,0,0,0,0
"SB1413",2015,NA,0,0,14,1,1,1,1,1
"SB1428",2015,NA,0,0,14,0,0,0,0,0
"SB1442",2015,NA,0,0,14,0,0,0,0,0
"SB1449",2015,NA,0,0,20,1,1,0,0,0
"SB1462",2015,NA,0,0,17,0,0,0,0,0
"HB2",2016,NA,0,0,5,1,1,1,1,0
"HB23",2016,NA,0,0,7,1,1,1,1,1
"HB80",2016,NA,0,0,7,1,1,1,1,1
"HB120",2016,NA,0,0,7,0,0,0,0,0
"HB121",2016,NA,0,0,7,0,0,0,0,0
"HB283",2016,NA,0,0,5,1,1,1,1,1
"HB351",2016,NA,0,0,5,0,0,0,0,0
"HB352",2016,NA,0,0,5,0,0,0,0,0
"HB444",2016,NA,0,0,5,1,1,1,1,1
"HB445",2016,NA,0,0,7,0,0,0,0,0
"HB448",2016,NA,0,0,2,1,1,1,1,1
"HB452",2016,NA,0,0,5,0,0,0,0,0
"HB480",2016,NA,0,0,7,0,0,0,0,0
"HB493",2016,NA,0,0,1,0,0,0,0,0
"HB533",2016,NA,0,0,5,0,0,0,0,0
"HB575",2016,NA,0,0,5,0,0,0,0,0
"HB576",2016,NA,0,0,5,0,0,0,0,0
"HB618",2016,NA,0,0,5,0,0,0,0,0
"HB638",2016,NA,0,0,6,0,0,0,0,0
"HB647",2016,NA,0,0,3,1,1,1,1,1
"HB762",2016,NA,0,0,5,0,0,0,0,0
"HB883",2016,NA,0,0,3,1,1,1,1,1
"HB908",2016,NA,0,0,5,0,0,0,0,0
"HB941",2016,NA,0,0,3,0,0,0,0,0
"HB973",2016,NA,0,0,5,0,0,0,0,0
"HB976",2016,NA,0,0,2,0,0,0,0,0
"HB1050",2016,NA,0,0,7,0,0,0,0,0
"HB1053",2016,NA,0,0,5,1,1,1,1,1
"HB1118",2016,NA,0,0,5,0,0,0,0,0
"HB1137",2016,NA,0,0,5,0,0,0,0,0
"HB1152",2016,NA,0,0,7,1,1,1,1,1
"HB1174",2016,NA,0,0,5,1,1,0,0,0
"HB1220",2016,NA,0,0,5,1,1,1,1,1
"HB1250",2016,NA,0,0,2,1,1,1,1,1
"HB1261",2016,NA,0,0,5,1,1,1,1,1
"HB1285",2016,NA,0,0,5,0,0,0,0,0
"HB1286",2016,NA,0,0,5,0,0,0,0,0
"HB1305",2016,NA,0,0,7,1,1,1,1,1
"HB1340",2016,NA,0,0,2,0,0,0,0,0
"HB1358",2016,NA,0,0,2,0,0,0,0,0
"HB1378",2016,NA,0,0,5,0,0,0,0,0
"HB1389",2016,NA,0,0,8,0,0,0,0,0
"SB21",2016,NA,0,0,14,1,1,1,1,0
"SJ47",2016,NA,0,0,22,0,0,0,0,0
"SB80",2016,NA,0,0,21,0,0,0,0,0
"SB136",2016,NA,0,0,17,1,1,1,1,1
"SB139",2016,NA,0,0,17,0,0,0,0,0
"SB140",2016,NA,0,0,17,0,0,0,0,0
"SB142",2016,NA,0,0,19,0,0,0,0,0
"SB148",2016,NA,0,0,17,0,0,0,0,0
"SB182",2016,NA,0,0,19,1,1,1,1,1
"SB244",2016,NA,0,0,19,0,0,0,0,0
"SB314",2016,NA,0,0,14,1,1,1,1,1
"SB361",2016,NA,0,0,21,1,1,1,1,1
"SB395",2016,NA,0,0,17,1,1,1,1,1
"SB403",2016,NA,0,0,17,0,0,0,0,0
"SB464",2016,NA,0,0,24,1,1,1,1,1
"SB475",2016,NA,0,0,14,0,0,0,0,0
"SB482",2016,NA,0,0,14,0,0,0,0,0
"SB486",2016,NA,0,0,19,0,0,0,0,0
"SB537",2016,NA,0,0,14,0,0,0,0,0
"SB563",2016,NA,0,0,19,1,1,1,1,1
"SB571",2016,NA,0,0,14,0,0,0,0,0
"SB614",2016,NA,0,0,17,0,0,0,0,0
"SB647",2016,NA,0,0,17,0,0,0,0,0
"SB673",2016,NA,0,0,14,1,1,1,1,1
"SB706",2016,NA,0,0,20,0,0,0,0,0
"SB726",2016,NA,0,0,14,0,0,0,0,0
"SB742",2016,NA,0,0,19,1,1,0,0,0
"SB743",2016,NA,0,0,14,1,1,1,1,1
"SB745",2016,NA,0,0,17,1,1,1,1,1
"SB748",2016,NA,0,0,17,1,1,1,1,1
"SB761",2016,NA,0,0,17,0,0,0,0,0
"SB779",2016,NA,0,0,17,0,0,0,0,0
"HJ572",2017,3,0,0,12,0,0,0,0,0
"HJ672",2017,3,0,0,12,0,0,0,0,0
"HB575",2017,3,0,0,5,0,0,0,0,0
"HB576",2017,3,0,0,5,0,0,0,0,0
"HB908",2017,3,0,0,5,0,0,0,0,0
"HB1285",2017,3,0,0,5,0,0,0,0,0
"HB1286",2017,3,0,0,5,0,0,0,0,0
"HB1454",2017,3,0,0,2,1,1,1,1,1
"HB1465",2017,3,0,0,5,0,0,0,0,0
"HB1619",2017,3,0,0,2,1,1,1,1,1
"HB1632",2017,3,0,0,7,0,0,0,0,0
"HB1636",2017,3,0,0,5,0,0,0,0,0
"HB1703",2017,3,0,0,5,0,0,0,0,0
"HB1712",2017,3,0,0,8,1,1,1,1,1
"HB1800",2017,3,0,0,5,0,0,0,0,0
"HB1859",2017,3,0,0,2,0,0,0,0,0
"HB1860",2017,3,0,0,2,0,0,0,0,0
"HB1861",2017,3,0,0,2,0,0,0,0,0
"HB1870",2017,3,0,0,2,0,0,0,0,0
"HB1891",2017,3,0,0,7,0,0,0,0,0
"HB1964",2017,3,0,0,8,0,0,0,0,0
"HB1988",2017,3,0,0,8,0,0,0,0,0
"HB1993",2017,3,0,0,13,1,1,1,1,1
"HB2005",2017,3,0,0,13,0,0,0,0,0
"HB2018",2017,3,0,0,5,0,0,0,0,0
"HB2089",2017,3,0,0,6,0,0,0,0,0
"HB2112",2017,3,0,0,5,0,0,0,0,0
"SJ297",2017,3,0,0,23,0,0,0,0,0
"SB140",2017,3,0,0,17,0,0,0,0,0
"SB142",2017,3,0,0,19,0,0,0,0,0
"SB910",2017,3,0,0,14,1,1,1,1,1
"SB911",2017,3,0,0,14,1,1,1,1,1
"SB917",2017,3,0,0,17,0,0,0,0,0
"SB918",2017,3,0,0,17,0,0,0,0,0
"SB925",2017,3,0,0,19,0,0,0,0,0
"SB990",2017,3,0,0,17,1,1,1,1,1
"SB1095",2017,3,0,0,17,0,0,0,0,0
"SB1184",2017,3,0,0,24,0,0,0,0,0
"SB1208",2017,3,0,0,17,0,0,0,0,0
"SB1258",2017,3,0,0,17,1,1,1,1,1
"SB1349",2017,3,0,0,14,1,0,0,0,0
"SB1359",2017,3,0,0,18,1,1,1,1,1
"SB1392",2017,3,0,0,19,0,0,0,0,0
"SB1393",2017,3,0,0,17,1,1,1,1,1
"SB1395",2017,3,0,0,14,1,1,1,1,1
"SB1398",2017,3,0,0,14,1,1,1,1,1
"SB1399",2017,3,0,0,14,0,0,0,0,0
"SB1471",2017,3,0,0,14,0,0,0,0,0
"SB1496",2017,3,0,0,14,0,0,0,0,0
"HB1389",2017,1,0,0,8,0,0,0,0,0
"HB1438",2017,1,0,0,5,0,0,0,0,0
"HB1573",2017,1,0,0,2,1,1,1,1,1
"HB1575",2017,1,0,0,2,0,0,0,0,0
"HB1678",2017,1,0,0,8,1,1,0,0,0
"HB1679",2017,1,0,0,2,1,1,0,0,0
"HB1766",2017,1,0,0,5,1,1,1,1,1
"HB1917",2017,1,0,0,7,0,0,0,0,0
"HB1974",2017,1,0,0,5,1,1,1,1,0
"HB2008",2017,1,0,0,2,0,0,0,0,0
"HB2198",2017,1,0,0,7,1,1,1,1,0
"HB2291",2017,1,0,0,5,1,1,1,1,1
"HB2303",2017,1,0,0,5,1,1,1,1,1
"HB2390",2017,1,0,0,5,1,1,1,1,1
"SB1110",2017,1,0,0,17,1,1,1,0,0
"SB1291",2017,1,0,0,14,0,0,0,0,0
"SB1292",2017,1,0,0,20,0,0,0,0,0
"SB1394",2017,1,0,0,17,1,1,1,1,1
"SB1470",2017,1,0,0,19,1,1,1,1,0
"HB618",2017,2,0,0,5,0,0,0,0,0
"HB1509",2017,2,0,0,2,1,1,1,1,1
"HB1574",2017,2,0,0,2,1,1,1,1,1
"HB1600",2017,2,0,0,2,1,1,1,1,1
"HB1671",2017,2,0,0,5,1,1,1,1,1
"HB1760",2017,2,0,0,5,1,1,1,1,1
"HB2124",2017,2,0,0,5,0,0,0,0,0
"HB2169",2017,2,0,0,7,1,1,1,1,1
"HB2200",2017,2,0,0,2,1,1,1,1,1
"HB2320",2017,2,0,0,2,0,0,0,0,0
"HB2349",2017,2,0,0,2,0,0,0,0,0
"HB2384",2017,2,0,0,9,0,0,0,0,0
"SB875",2017,2,0,0,19,1,1,1,1,1
"SB886",2017,2,0,0,19,1,1,1,1,1
"SB1197",2017,2,0,0,17,0,0,0,0,0
"SB1226",2017,2,0,0,20,1,1,1,1,1
"SB1289",2017,2,0,0,17,1,1,1,1,1
"SB1383",2017,2,0,0,14,0,0,0,0,0
"SB1388",2017,2,0,0,17,0,0,0,0,0
"SB1418",2017,2,0,0,17,1,1,1,1,1
"SB1423",2017,2,0,0,17,0,0,0,0,0
"HJ12",2018,3,0,0,10,0,0,0,0,0
"HJ4",2018,3,0,0,10,0,0,0,0,0
"HJ27",2018,3,0,0,12,0,0,0,0,0
"HJ32",2018,3,0,0,12,0,0,0,0,0
"HJ74",2018,3,0,0,12,0,0,0,0,0
"HJ101",2018,3,0,0,12,1,0,0,0,0
"HJ129",2018,3,0,0,10,0,0,0,0,0
"HB33",2018,3,0,0,5,0,0,0,0,0
"HB54",2018,3,0,0,7,0,0,0,0,0
"HB58",2018,3,0,0,8,0,0,0,0,0
"HB96",2018,3,0,0,5,0,0,0,0,0
"HB182",2018,3,0,0,5,0,0,0,0,0
"HB204",2018,3,0,0,3,0,0,0,0,0
"HB345",2018,3,0,0,12,1,1,1,1,1
"HB358",2018,3,0,0,2,1,1,1,1,1
"HB377",2018,3,0,0,2,1,1,1,1,1
"HB392",2018,3,0,0,5,0,0,0,0,0
"HB393",2018,3,0,0,5,0,0,0,0,0
"HB421",2018,3,0,0,5,0,0,0,0,0
"HB436",2018,3,0,0,5,0,0,0,0,0
"HB469",2018,3,0,0,7,0,0,0,0,0
"HB508",2018,3,0,0,3,1,1,1,1,1
"HB560",2018,3,0,0,5,0,0,0,0,0
"HB782",2018,3,0,0,5,0,0,0,0,0
"HB921",2018,3,0,0,8,0,0,0,0,0
"HB922",2018,3,0,0,8,1,1,1,1,1
"HB930",2018,3,0,0,5,0,0,0,0,0
"HB963",2018,3,0,0,5,0,0,0,0,0
"HB964",2018,3,0,0,5,0,0,0,0,0
"HB965",2018,3,0,0,5,0,0,0,0,0
"HB975",2018,3,0,0,5,0,0,0,0,0
"HB979",2018,3,0,0,9,0,0,0,0,0
"HB981",2018,3,0,0,7,0,0,0,0,0
"HB1018",2018,3,0,0,7,0,0,0,0,0
"HB1060",2018,3,0,0,5,0,0,0,0,0
"HB1141",2018,3,0,0,12,0,0,0,0,0
"HB1150",2018,3,0,0,2,0,0,0,0,0
"HB1155",2018,3,0,0,5,0,0,0,0,0
"HB1185",2018,3,0,0,2,0,0,0,0,0
"HB1186",2018,3,0,0,2,0,0,0,0,0
"HB1187",2018,3,0,0,12,0,0,0,0,0
"HB1188",2018,3,0,0,12,0,0,0,0,0
"HB1253",2018,3,0,0,5,0,0,0,0,0
