Name,ID,Session,Committee,Position
Edward T. Scott,50021,2015,H-ACNR,Chair
R. Lee Ware,25934,2015,H-ACNR,Member
"Thomas C. Wright, Jr.",1805,2015,H-ACNR,Member
"Robert D. Orrock, Sr.",5461,2015,H-ACNR,Member
"Daniel W. Marshall, III",15110,2015,H-ACNR,Member
Charles D. Poindexter,98360,2015,H-ACNR,Member
Barry D. Knight,87338,2015,H-ACNR,Member
"James E. Edmunds, II",83615,2015,H-ACNR,Member
Tony O. Wilt,77401,2015,H-ACNR,Member
James W. Morefield,167033,2015,H-ACNR,Member
Michael J. Webert,198549,2015,H-ACNR,Member
Margaret B. Ransone,85821,2015,H-ACNR,Member
C. Matthew Fariss,198425,2015,H-ACNR,Member
Jackson H. Miller,60848,2015,H-ACNR,Member
"Robert S. Bloxom, Jr.",247902,2015,H-ACNR,Member
Kenneth R. Plum,37,2015,H-ACNR,Member
David L. Bulova,24155,2015,H-ACNR,Member
Matthew James,162405,2015,H-ACNR,Member
Luke E. Torian,161769,2015,H-ACNR,Member
Mark L. Keam,159357,2015,H-ACNR,Member
Alfonso H. Lopez,59777,2015,H-ACNR,Member
"Richard C. ""Rip"" Sullivan, Jr.",38277,2015,H-ACNR,Member
"Daniel W. Marshall, III",15110,2016,H-ACNR,Chair
R. Lee Ware,25934,2016,H-ACNR,Member
"Thomas C. Wright, Jr.",1805,2016,H-ACNR,Member
"Robert D. Orrock, Sr.",5461,2016,H-ACNR,Member
Charles D. Poindexter,98360,2016,H-ACNR,Member
Brenda L. Pogge,79793,2016,H-ACNR,Member
Barry D. Knight,87338,2016,H-ACNR,Member
"James E. Edmunds, II",83615,2016,H-ACNR,Member
Tony O. Wilt,77401,2016,H-ACNR,Member
James W. Morefield,167033,2016,H-ACNR,Member
Michael J. Webert,198549,2016,H-ACNR,Member
Margaret B. Ransone,85821,2016,H-ACNR,Member
C. Matthew Fariss,198425,2016,H-ACNR,Member
Jackson H. Miller,60848,2016,H-ACNR,Member
"Robert S. Bloxom, Jr.",247902,2016,H-ACNR,Member
Kenneth R. Plum,37,2016,H-ACNR,Member
David L. Bulova,24155,2016,H-ACNR,Member
Matthew James,162405,2016,H-ACNR,Member
Luke E. Torian,161769,2016,H-ACNR,Member
Mark L. Keam,159357,2016,H-ACNR,Member
Alfonso H. Lopez,59777,2016,H-ACNR,Member
"Richard C. ""Rip"" Sullivan, Jr.",38277,2016,H-ACNR,Member
"Daniel W. Marshall, III",15110,2017,H-ACNR,Chair
Charles D. Poindexter,98360,2017,H-ACNR,Vice Chair
R. Lee Ware,25934,2017,H-ACNR,Member
"Thomas C. Wright, Jr.",1805,2017,H-ACNR,Member
"Robert D. Orrock, Sr.",5461,2017,H-ACNR,Member
Brenda L. Pogge,79793,2017,H-ACNR,Member
Barry D. Knight,87338,2017,H-ACNR,Member
"James E. Edmunds, II",83615,2017,H-ACNR,Member
Tony O. Wilt,77401,2017,H-ACNR,Member
James W. Morefield,167033,2017,H-ACNR,Member
Michael J. Webert,198549,2017,H-ACNR,Member
Margaret B. Ransone,85821,2017,H-ACNR,Member
C. Matthew Fariss,198425,2017,H-ACNR,Member
Jackson H. Miller,60848,2017,H-ACNR,Member
"Robert S. Bloxom, Jr.",247902,2017,H-ACNR,Member
Kenneth R. Plum,37,2017,H-ACNR,Member
David L. Bulova,24155,2017,H-ACNR,Member
Matthew James,162405,2017,H-ACNR,Member
Luke E. Torian,161769,2017,H-ACNR,Member
Mark L. Keam,159357,2017,H-ACNR,Member
Alfonso H. Lopez,59777,2017,H-ACNR,Member
"Richard C. ""Rip"" Sullivan, Jr.",38277,2017,H-ACNR,Member
"Daniel W. Marshall, III",15110,2018,H-ACNR,Chair
Charles D. Poindexter,98360,2018,H-ACNR,Vice Chair
R. Lee Ware,25934,2018,H-ACNR,Member
"Thomas C. Wright, Jr.",1805,2018,H-ACNR,Member
"Robert D. Orrock, Sr.",5461,2018,H-ACNR,Member
Barry D. Knight,87338,2018,H-ACNR,Member
"James E. Edmunds, II",83615,2018,H-ACNR,Member
Tony O. Wilt,77401,2018,H-ACNR,Member
James W. Morefield,167033,2018,H-ACNR,Member
Margaret B. Ransone,85821,2018,H-ACNR,Member
C. Matthew Fariss,198425,2018,H-ACNR,Member
"Robert S. Bloxom, Jr.",247902,2018,H-ACNR,Member
Kenneth R. Plum,37,2018,H-ACNR,Member
David L. Bulova,24155,2018,H-ACNR,Member
Matthew James,162405,2018,H-ACNR,Member
Mark L. Keam,159357,2018,H-ACNR,Member
Alfonso H. Lopez,59777,2018,H-ACNR,Member
"Richard C. ""Rip"" Sullivan, Jr.",38277,2018,H-ACNR,Member
Dawn M. Adams,289566,2018,H-ACNR,Member
Wendy W. Gooditis,289576,2018,H-ACNR,Member
Debra H. Rodman,289677,2018,H-ACNR,Member
Charniele L. Herring,65422,2018,H-ACNR,Member
"Daniel W. Marshall, III",15110,2019,H-ACNR,Chair
Charles D. Poindexter,98360,2019,H-ACNR,Vice Chair
R. Lee Ware,25934,2019,H-ACNR,Member
"Thomas C. Wright, Jr.",1805,2019,H-ACNR,Member
"Robert D. Orrock, Sr.",5461,2019,H-ACNR,Member
Barry D. Knight,87338,2019,H-ACNR,Member
"James E. Edmunds, II",83615,2019,H-ACNR,Member
Tony O. Wilt,77401,2019,H-ACNR,Member
James W. Morefield,167033,2019,H-ACNR,Member
Margaret B. Ransone,85821,2019,H-ACNR,Member
C. Matthew Fariss,198425,2019,H-ACNR,Member
"Robert S. Bloxom, Jr.",247902,2019,H-ACNR,Member
Kenneth R. Plum,37,2019,H-ACNR,Member
David L. Bulova,24155,2019,H-ACNR,Member
Matthew James,162405,2019,H-ACNR,Member
Mark L. Keam,159357,2019,H-ACNR,Member
Alfonso H. Lopez,59777,2019,H-ACNR,Member
"Richard C. ""Rip"" Sullivan, Jr.",38277,2019,H-ACNR,Member
Dawn M. Adams,289566,2019,H-ACNR,Member
Wendy W. Gooditis,289576,2019,H-ACNR,Member
Debra H. Rodman,289677,2019,H-ACNR,Member
Charniele L. Herring,65422,2019,H-ACNR,Member
Kenneth R. Plum,37,2020,H-ACNR,Chair
Wendy W. Gooditis,289576,2020,H-ACNR,Vice Chair
Roslyn C. Tyler,79002,2020,H-ACNR,Member
David L. Bulova,24155,2020,H-ACNR,Member
Mark L. Keam,159357,2020,H-ACNR,Member
Alfonso H. Lopez,59777,2020,H-ACNR,Member
Kathy K.L. Tran,289614,2020,H-ACNR,Member
Dan I. Helmer,297214,2020,H-ACNR,Member
