Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended ,To Gov,Returned,Passed,Disposition
HJ572,1,H-R,0,0,,,,,,,,0,DiC
HJ672,1,H-R,0,0,,,,,,,,0,DiC
HB575,1,H-CL,0,0,,,,,,,,0,DiC
HB576,1,H-CL ,0,0,,,,,,,,0,DiC
HB908,1,H-CL,0,0,,,,,,,,0,DiC
HB1285,1,H-CL ,0,0,,,,,,,,0,DiC
HB1286,1,H-CL ,0,0,,,,,,,,0,DiC
HB1454,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL
HB1465,1,H-CL ,0,0,,,,,,,,0,DiC
HB1619,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB1632,1,H-F,0,0,,,,,,,,0,DiC
HB1636,1,H-CL,0,0,,,,,,,,0,DiC
HB1703,1,H-CL,0,0,,,,,,,,0,DiC
HB1712,1,H-GL,1,0,1,S-GLT,1,1,0,1,0,1,PiL
HB1800,1,H-CL,0,0,,,,,,,,0,DiC
HB1859,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1860,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1861,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1870,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1891,1,H-F,0,0,,,,,,,,0,DiC
HB1964,1,H-GL; H-A,0,0,,,,,,,,0,DiC
HB1988,1,H-GL; H-A,0,0,,,,,,,,0,DiC
HB1993,1,H-T,1,0,1,S-T,1,1,0,1,0,1,PiL
HB2005,1,H-T,0,0,,,,,,,,0,DiC
HB2018,1,H-CL,0,0,,,,,,,,0,DiC
HB2089,1,H-E,0,0,,,,,,,,0,DiC
HB2112,1,H-CL,0,0,,,,,,,,0,DiC
SJ297,1,S-R,0,0,,,,,,,,0,DiC
SB140,1,S-CL,0,0,,,,,,,,0,DiC
SB142,1,S-F,0,0,,,,,,,,0,DiC
SB910,1,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB911,1,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB917,1,S-CL,0,1,,,,,,,,0,Inc
SB918,1,S-CL,0,0,,,,,,,,0,DiC
SB925,1,S-F,0,0,,,,,,,,0,DiC
SB990,1,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL
SB1095,1,S-CL,0,0,,,,,,,,0,DiC
