Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition
HJ12,1,H-PE,0,0,,,,,,,,0,DiC
HJ4,1,H-PE,0,0,,,,,,,,0,DiC
HJ26,1,H-R; H-A,1,0,1,S-R,1,1,0,,,1,JRP
HJ27,1,H-R,0,0,,,,,,,,0,DiC
HJ32,1,H-R,0,0,,,,,,,,0,DiC
HJ74,1,H-R,0,0,,,,,,,,0,DiC
HJ101,1,H-R; H-A,1,0,0,,,,,,,0,DiH
HJ129,1,H-PE,0,0,,,,,,,,0,DiC
HB33,1,H-CL ,0,0,,,,,,,,0,DiC
HB54,1,H-F,0,0,,,,,,,,0,DiC
HB58,1,H-GL; H-A,0,0,,,,,,,,0,DiC
HB96,1,H-CL,0,0,,,,,,,,0,DiC
HB182,1,H-CL,0,0,,,,,,,,0,DiC
HB204,1,H-CCT,0,0,,,,,,,,0,DiC
HB345,1,H-R; H-A,1,0,1,S-GLT; S-F,1,1,1,1,0,1,PiL
HB358,1,H-ACNR,1,0,1,S-ACNR; S-F,1,1,0,1,0,1,PiL
HB377,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB392,1,H-CL,0,0,,,,,,,,0,DiC
HB393,1,H-CL,0,0,,,,,,,,0,DiC
HB421,1,H-CL,0,0,,,,,,,,0,DiC
HB436,1,H-CL,0,0,,,,,,,,0,DiC
HB469,1,H-F,0,0,,,,,,,,0,DiC
HB508,1,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PiL
HB560,1,H-CL,0,0,,,,,,,,0,DiC
HB782,1,H-CL,0,0,,,,,,,,0,DiC
HB921,1,H-GL,0,0,,,,,,,,0,DiC
HB922,1,H-GL,1,0,1,S-T; S-CL,1,1,1,1,0,1,PiL
HB930,1,H-CL,0,0,,,,,,,,0,DiC
HB963,1,H-CL,0,0,,,,,,,,0,DiC
HB964,1,H-CL,0,0,,,,,,,,0,DiC
HB965,1,H-CL,0,0,,,,,,,,0,DiC
HB975,1,H-CL,0,0,,,,,,,,0,DiC
HB979,1,H-HWI,0,0,,,,,,,,0,DiC
HB981,1,H-F,0,0,,,,,,,,0,DiC
HB1018,1,H-F; H-A,0,0,,,,,,,,0,DiC
HB1060,1,H-CL,0,0,,,,,,,,0,DiC
HB1141,1,H-r; H-ACNR,0,0,,,,,,,,0,DiC
HB1150,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1155,1,H-CL,0,0,,,,,,,,0,DiC
HB1185,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1186,1,H-ACNR,0,0,,,,,,,,0,DiC
HB1187,1,H-R; H-CL,0,0,,,,,,,,0,DiC
HB1188,1,H-R; H-ACNR,0,0,,,,,,,,0,DiC
HB1253,1,H-CL,0,0,,,,,,,,0,DiC
HB1273,1,H-CL,0,0,,,,,,,,0,DiC
HB1294,1,H-R; H-ACNR,0,0,,,,,,,,0,DiC
HB1344,1,H-R,0,0,,,,,,,,0,DiC
HB1451,1,H-CL,1,0,1,S-CL,1,1,1,1,0,1,PiL
HB1490,1,H-CL,0,0,,,,,,,,0,Inc
HB1503,1,H-CL,0,0,,,,,,,,0,DiC
