Legislative Session: 2020 Session    |  Speaker of the House: Kirk Cox   |  Majority leader: Todd Gilbert  |  Minority Leader: Eileen Filler-Corn ,SC Position,,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Signed by Gov,Disposition,
HJ25,1,H-R,1,0,1,S-R,1,1,0,1,0,1,PiL,
HJ61,1,H-R,0,0,,,,,,,,,DiC,
HB75,1,H-E; H-LC,1,0,1,S-EH; S-CL,1,1,1,0,,,DiH,
HB77,1,H-LC; H-A,0,0,,,,,,,,,DiC,
HB167,1,H-LC,1,0,1, S-CL,1,1,0,1,0,1,PiL,
HB414,1,H-ACNR; H-LC,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,
HB443,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,
HB511,1,H-T,1,0,1,S-GLT,1,1,0,1,0,1,PiL,
HB525,1,H-ACNR; H-A ,0,0,,,,,,,,,DiC,
HB528,1,H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL,
HB572,1,H-ACNR; H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL,
HB577,1,H-ACNR; H-A,0,0,,,,,,,,,DiC,
HB633,1,H-F ,0,0,,,,,,,,,DiC,
HB643,1,H-ACNR,1,0,1,S-ACNR,0,,,,,,DiC,
HB644 ,1,H-ACNR,1,0,1,S-ACNR,0,,,,,,DiC,
HB646 ,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,
HB654,1,H-CCT,1,0,1,S-LG; S-FA,1,1,0,1,0,1,PiL,
HB656,1,H-ACNR; H-LC,1,0,1,S-LG,1,1,1,1,0,1,PiL,
HB672 ,1,H-CCT,1,0,1,S-ACNR,0,,,,,,DiC,
HB704,1,H-ACNR; H-A,1,0,1,S-ACNR,1,1,1,1,1,1,PiL,
HB706,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,
HB714,1,H-ACNR; H-LC,1,0,1,"S-ACNR, S-CL",1,1,1,1,0,1,PiL,
HB717,1,H-T,1,0,1,S-GLT,1,1,1,1,0,1,PiL,
HB751,1,H-ACNR; H-A ,0,1,,,,,,,,,Inc,
HB754,1,H-ACNR; H-LC; H-A,0,0,,,,,,,,,DiC,
HB794,1,H-ACNR; H-A ,0,0,,,,,,,,,DiC,
HB805,1,H-LC ,0,0,,,,,,,,,DiC,
HB858 ,1,H-GL ,0,0,,,,,,,,,DiC,
HB868 ,1,H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL,
HB889,1,H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL,
HB912 ,1,H-ACNR; H-LC ,0,1,,,,,,,,,Inc,
HB947,1,H-F ,0,0,,,,,,,,,DiC,
HB959,1,H-CJ; H-LC ,0,0,,,,,,,,,DiC,
HB981,1,H-ACNR; H-LC; H-A,1,0,1,S-ACNR; S-FA,1,1,1,1,1,1,PiL,
HB1042,1,H-GL,1,0,1,S-GLT,1,1,0,1,0,1,PiL,
HB1067,1,H-LC; H-GL ,0,0,,,,,,,,,DiC,
HB1132,1,H-LC,1,0,1,S-CL,0,,,,,,DiC,
HB1133 ,1,H-LC,1,0,1,S-CL,1,1,0,1,1,1,PiL,
HB1140 ,1,H-E; H-LC; H-A,0,0,,,,,,,,,DiC,
HB1184 ,1,H-ACNR; H-LC,1,0,1,S-ACNR; S-CL,1,1,1,1,0,1,PiL,
HJ131 ,1,H-R ,0,0,,,,,,,,,DiC,
HJ136 ,1,H-R,1,0,1,S-R,0,,,,,,DiC,
HB1295 ,1,H-F ,0,0,,,,,,,,,DiC,
HB1298  ,1,H-ACNR; H-LC,0,0,,,,,,,,,DiC,
HB1327  ,1,H-F,1,0,1,S-FA,1,1,1,1,0,1,PiL,
HB1450  ,1,H-ACNR; H-LC,1,0,1,S-ACNR,1,1,1,0,,,DiH,
HB1451  ,1,H-ACNR; H-LC,1,0,1,S-ACNR,1,1,1,0,,,DiH,
HB1526 ,1,H-LC,1,0,1,S-CL,1,1,1,1,0,1,PiL,
HB1641  ,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,
HB1642 ,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,
HB1647  ,1,H-LC,1,0,1,S-CL,1,1,1,1,1,1,PiL,
HB1707 ,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,
SJ32 ,1,S-R,0,0,,,,,,,,,DiC,
SB25  ,1,S-PE,0,0,,,,,,,,,DiC,
SB94  ,1,S-CL,1,0,1,H-LC; H-A,1,1,1,1,0,1,PiL,
SB106,1,S-ACNR,1,0,1,H-ACNR  ,1,1,1,1,0,1,PiL,
SB320  ,1,S-ACNR; S-FA,1,0,1,H-ACNR,1,1,0,1,1,1,PiL,
SB354  ,1,S-CL ,0,0,,,,,,,,,DiC,
SB376 ,1,S-CL ,0,0,,,,,,,,,DiC,
SB379 ,1,S-CL ,0,0,,,,,,,,,DiC,
SB406  ,1,S-GLT,1,0,1,H-GL,1,1,1,1,1,1,PiL,
SB542  ,1,S-CL,1,0,1,H-LC,1,1,0,1,0,1,PiL,
SB628 ,1,S-GLT,1,0,1,H-GL,1,1,1,1,0,1,PiL,
SB629  ,1,S-CL,1,0,1,H-LC,1,1,1,1,1,1,PiL,
SB630  ,1,S-GLT,1,0,1,H-CTI ,1,1,0,1,0,1,PiL,
SB634,1,S-CL; S-FA,1,0,1,H-LC ,0,,,,,,DiC,
SB710 ,1,S-CL,1,0,1,H-LC,1,1,1,1,0,1,PiL,
SB731  ,1,S-CL,1,0,1,H-LC,1,1,1,1,0,1,PiL,
SJ56 ,1,S-R,0,0,,,,,,,,,DiC,
SB795 ,1,S-ACNR,1,0,1,H-ACNR,1,1,1,1,0,1,PiL,
SB797  ,1,S-GLT,0,0,,,,,,,,,DiC,
SB883,1,S-GLT,1,0,1,H-LC; H-GL,1,1,1,1,1,1,PiL,
SB911 ,1,S-T,1,0,1,H-T ,0,,,,,,DiC,
SB1061 ,1,S-GLT,0,0,,,,,,,,,DiC,
HB166  ,-1,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PiL,
HB205 ,-1,H-ACNR; H-LC ,0,0,,,,,,,,,DiC,
HB461  ,-1,H-F ,0,0,,,,,,,,,DiC,
HB705 ,-1,H-ACNR ,0,0,,,,,,,,,DiC,
HB1170  ,-1,H-ACNR ,0,0,,,,,,,,,DiC,
HB1171 ,-1,H-ACNR ,0,0,,,,,,,,,DiC,
HB1360  ,-1,H-ACNR; H-LC ,0,0,,,,,,,,,DiC,
HB1628  ,-1,H-LC ,0,0,,,,,,,,,DiC,
HB1629 ,-1,H-LC ,0,0,,,,,,,,,DiC,
HB1636  ,-1,H-ACNR; H-A ,1,0,,,,,,,,,DiC,
SB769  ,-1,S-ACNR,1,0,1,H-ACNR  ,0,,,,,,DiC,
SB992 ,-1,S-ACNR; S-CL,0,0,1,H-ACNR  ,0,,,,,,DiC,
HB1607  ,0,H-LC ,0,1,,,,,,,,,Inc,
HB1664 ,0,H-LC,1,0,1,S-CL,1,1,1,1,1,1,PiL,
SB817  ,0,S-CL ,1,0,1,H-LC,1,1,0,1,0,1,PiL,
SB828 ,0,S-CL ,1,0,1,H-LC,1,1,0,1,0,1,PiL,
SB860  ,0,S-CL,1,0,1,H-LC,1,1,0,1,1,1,PiL,
SB998 ,0,S-CL,1,0,1,H-LC,1,1,0,1,1,1,PiL,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
