Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended ,To Gov,Returned,Passed,Disposition
SB13,1,S-ACNR; S-GLT,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB45,1,S-PE,0,0,0,,,,,,,0,DiC
SB141,1,S-ACNR; S-FA,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB158,1,S-FA,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB160,1,S-CL,0,0,0,,,,,,,,DiC
SB161,1,S-EH;S-FA,1,0,1,H-E,1,1,0,1,0,1,PiL
SB213,1,S-FA,0,0,0,,,,,,,,DiC
SB251,1,S-LG;S-FA,1,0,1,H-CCT;H-T,0,0,,,,,DiC
SB272,1,S-ACNR,1,0,1,H-ACNR,0,0,,,,,DiC
SB278,1,S-T,1,0,1,H-T,1,1,0,1,0,0,V
SB281,1,S-T,1,0,1,H-T,1,1,1,1,0,1,PiL
SB290,1,S-GLT,1,0,1,H-GL,0,0,,,,,DiC
SB292,1,S-ACNR,1,0,1,H-ACNR,1,1,0,1,0,1,PiL
SB342,1,S-T,1,0,1,H-T,1,1,1,1,0,1,PiL
SB347,1,S-CL,1,0,1,H-CE,1,1,1,1,0,0,V
SB452,1,S-LG,0,0,0,,,,,,,,DiC
SB482,1,S-ACNR; S-FA,1,0,1,H-ACNR,0,0,,,,,DiC
SB488,1,S-FA,1,0,1,H-T,0,0,,,,,DiC
SB505,1,S-CE,1,0,1,H-CE,1,1,0,1,0,1,PiL
SB551,1,S-ACNR;S-FA,1,1,1,H-ACNR,1,1,0,1,0,1,PiL
SB575,1,S-GLT,1,0,1,H-GL,1,1,0,1,0,1,PiL
SB660,1,S-CL,1,0,1,H-CE,1,1,0,1,0,1,PiL
SB708,1,S-T;S-FA,1,0,1,H-ACNR;H-A,0,0,,,,,DiC
SB762,1,S-CL,0,0,0,,,,,,,,DiC
SJ1,1,S-PE;S-FA,1,0,1,H-PE,0,0,,,,,DiC
SJ5,1,S-PE;S-FA,1,0,1,H-PE,0,0,,,,,DiC
HB28,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB49,1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL
HB71,1,H-PE,0,0,0,,,,,,,,DiC
HB141,1,H-ACNR,1,0,1,S-FA,1,1,0,1,0,1,PiL
HB142,1,H-T,1,0,1,S-T,1,1,0,1,0,1,PiL
HB206,0,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB250,1,H-R,0,0,0,,,,,,,,DiC
HB311,1,H-ACNR,0,0,0,,,,,,,,DiC
HB314,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB351,1,H-ACNR;H-A,0,0,0,,,,,,,,DiC
HB364,1,H-CCT,0,0,0,,,,,,,,DiC
HB379,1,H-CE,0,0,0,,,,,,,,DiC
HB393,1,H-ACNR,0,0,0,,,,,,,,DiC
HB396,1,H-CE,1,0,1,S-CE,1,1,1,1,0,1,PiL
HB443,1,H-CE;H-CCT,1,0,1,S-CE;S-LG,1,1,0,1,0,1,PiL
HB450,1,H-T,1,0,1,S-T,1,1,0,1,0,1,PiL
HB463,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL
HB471,1,H-GL,0,0,0,,,,,,,,DiC
HB491,1,H-ACNR,0,0,0,,,,,,,,DiC
HB508,1,H-ACNR;H-A,0,0,0,,,,,,,,DiC
HB516,1,H-ACNR;H-A,1,0,1,S-ACNR,1,1,1,1,0,1,PiL
