Bill,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,Sponsor
HB1372,-1,H-ACNR,0,,,,,,,,,0,DiC,Buddy Fowler
HB1378,-1,H-ACNR,1,0,1,S-ACNR,0,,,,,0,DiC,Tony Wilt
HB1430,-1,H-CE,1,0,1,S-CL,0,,,,,0,DiC,Lee Ware
HB1438 ,1,H-F; H-A,1,0,1,S-ACNR; S-FA,1,1,1,1,0,1,PiL,Tim Anderson
HB1480 ,-1,H-CE,0,,,,,,,,,0,DiC,Lee Ware
HB1485 ,-1,H-ACNR,1,0,1,S-ACNR,1,1,1,1,0,1,PiL,Michael Webert
HB1588 ,1,H-ACNR; H-A,0,,,,,,,,,0,DiC,Rip Sullivan
HB1604 ,1,H-CE,1,0,1,S-CL,1,1,1,1,0,1,PiL,Lee Ware
HB1623  ,-1,H-ACNR,1,0,0,,,,,,,0,DiH,Tommy Wright
HB1634 ,1,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PiL,David Bulova
HB1643 ,-1,H-CE,1,0,1,S-R,1,1,1,1,0,1,PiL,Terry Kilgore
HB1645 ,-1,H-F,1,0,1,S-FA,1,1,1,1,0,1,PiL,Tim Anderson
HB1650 ,1,H-GL,0,,,,,,,,,0,DiC,Cia Price
HB1664,1,H-ACNR; H-A,1,0,1,S-ACNR; S-FA,1,1,1,1,0,1,PiL,Keith Hodges
HB1721,1,H-ACNR,0,,,,,,,,,0,DiC,Nadarius Clark
HB1722,1,H-ACNR,0,,,,,,,,,0,DiC,Shelly Simonds
HB1766 ,1,H-GL,0,,,,,,,,,0,DiC,David Reid
HB1770,-1,H-CE,1,0,1,S-CL,1,1,1,1,1,1,PiL,Terry Kilgore
HB1783 ,-1,H-CE,1,0,1,S-CL,0,,,,,0,DiC,Israel O'Quinn
HB1790 ,1,H-F,0,,,,,,,,,0,DiC,David Reid
HB1797 ,-1,H-CE,1,0,1,S-CL,0,,,,,0,DiC,Nick Freitas
HB1798 ,1,H-CCT,0,,,,,,,,,0,DiC,Shelly Simonds
HB1852 ,1,H-A,0,,,,,,,,,0,DiC,Suhas Subramanyam
HB1853  ,1,H-CE,0,,,,,,,,,0,DiC,Suhas Subramanyam
HB1855 ,1,H-CE,0,,,,,,,,,0,DiC,Suhas Subramanyam
HB1934 ,-1,H-GL,1,0,1,S-GLT,0,,,,,0,DiC,Buddy Fowler
HB1986 ,1,H-CE,0,,,,,,,,,0,DiC,Danica Roem
HB2026 ,-1,H-CE,1,0,1,S-CL,1,1,1,1,1,1,PiL,Israel O'Quinn
