Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended ,To Gov,Returned,Passed,Disposition,VV
HB6,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB40,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB60,H-F,0,0,0,,,,,0,0,0,DiC,1
HB75,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB96,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB102,H-CJ,1,0,1,S-CJ; S-F,0,0,0,0,0,0,DiC,0
HB129,H-CCT,0,0,0,,,,,0,0,0,DiC,1
HB130,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB163,H-F,0,0,0,,,,,0,0,0,DiC,1
HB165,H-F,0,0,0,,,,,0,0,0,DiC,1
HB193,H-HWI,1,0,1,S-EH,0,0,0,0,0,0,DiC,0
HB215,H-F,0,0,0,,,,,0,0,0,DiC,1
HB219,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB251,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB253,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB271,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB286,H-CCT,0,0,0,,,,,0,0,0,DiC,1
HB346,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB350,H-HWI,1,0,1,S-EH; S-F,0,0,0,0,0,0,DiC,0
HB362,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB400,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB401,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB461,H-MPP;H-T,0,0,0,,,,,0,0,0,DiC,1
HB473,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB490,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB500,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB539,H-F,0,0,0,,,,,0,0,0,DiC,1
HB540,H-F,0,0,0,,,,,0,0,0,DiC,1
HB545,H-F,0,0,0,,,,,0,0,0,DiC,1
HB601,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB602,H-CJ,1,0,1,S-CJ; S-F,0,0,0,0,0,0,DiC,0
HB666,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB693,H-F,0,0,0,,,,,0,0,0,DiC,1
HB710,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB754,H-CJ,1,0,1,S-CJ; S-F,0,0,0,0,0,0,DiC,0
HB768,H-CJ;H-A,1,0,1,S-CJ; S-F,0,0,0,0,0,0,DiC,0
HB794,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB838,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB839,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB843,H-F,0,0,0,,,,,0,0,0,DiC,1
HB877,H-F,0,0,0,,,,,0,0,0,DiC,1
HB880,H-F,0,0,0,,,,,0,0,0,DiC,1
HB881,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB887,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB897,H-T;H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB900,H-HWI,1,0,1,S-EH,0,0,0,0,0,0,DiC,0
HB904,H-GL,1,0,1,S-RSS,0,0,0,0,0,0,DiC,1
HB936,H-E,1,0,1,S-EH,0,0,0,0,0,0,DiC,0
HB956,H-CCT,0,0,0,,,,,0,0,0,DiC,1
HB957,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB963,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB966,H-F,0,0,0,,,,,0,0,0,DiC,1
HB969,H-F,0,0,0,,,,,0,0,0,DiC,1
HB978,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB1078,H-CCT,0,0,0,,,,,0,0,0,DiC,1
HB1095,H-F,0,0,0,,,,,0,0,0,DiC,1
HB1171,H-MPP,0,0,0,,,,,0,0,0,DiC,1
HB1193,H-A,0,0,0,,,,,0,0,0,DiC,1
HB1251,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB1306,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB1363,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB1395,H-CJ,0,0,0,,,,,0,0,0,DiC,0
HB1409,H-PE,1,0,1,S-PE; S-PE,0,0,0,0,0,0,DiC,0
HB1424,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB1443,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB1459,H-PE,0,0,0,,,,,0,0,0,DiC,1
HB1460,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB1495,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB1499,H-F,0,0,0,,,,,0,0,0,DiC,1
HB1523,H-CJ,0,0,0,,,,,0,0,0,DiC,1
HB1562,H-ACNR,1,0,1,S-ACNR,1,1,1,1,1,1,PiL,0
HB1563,H-HWI,0,0,0,,,,,0,0,0,DiC,1
HB1576,H-ACNR,0,0,0,,,,,0,0,0,DiC,1
HB1577,H-ACNR,0,0,0,,,,,0,0,0,DiC,1
HB1588,H-ACNR,0,0,0,,,,,0,0,0,DiC,1
HB1602,H-CJ,1,0,0,,,,,0,0,0,DiH,0
HB1639,H-GL,0,0,0,,,,,0,0,0,DiC,1
HB1645,H-A,0,0,0,,,,,0,0,0,DiC,1
HB1649,H-CCT;H-PE,0,0,0,,,,,0,0,0,DiC,0
HB1665,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL,0
HB1697,H-CCT,1,0,1,S-LG,1,1,1,1,0,1,PiL,0
HB1710,H-F,0,0,0,,,,,0,0,0,DiC,1
HB1722,H-CL,0,0,0,,,,,0,0,0,DiC,1
HB1762,H-CJ,0,0,0,,,,,0,0,0,DiC,0
