Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB527,H-ACNR; H-A,1,0,1,S-GLT; S-F,1,1,0,1,0,1,PiL,0
SB527,S-F,0,1,0,,,,,0,0,0,Inc [SB115],0
HB695,H-R,0,0,0,,,,,0,0,0,DiC,0
SB695,S-RSS,1,0,1,H-GL,1,1,0,1,0,1,PiL,0
SB899,S-CJ; S-F,1,0,1,H-CCT,1,1,1,1,0,1,PiL,0
HB899,H-T,0,0,0,,,,,0,0,0,DiC,0
HB652,H-E,0,0,0,,,,,0,0,0,DiC,0
SB652,S-GLT; S-F,1,0,1,H-GL,1,1,0,1,0,1,PiL,0
HB365,H-F,1,0,1,S-F,1,1,1,1,1,1,PiL,0
SB365,S-EH,0,1,0,,,,,0,0,0,Inc [SB266],0
HB274,H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PiL,0
SB274,S-EH,0,0,0,,,,,0,0,0,DiC,0
HB853,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,0
SB853,S-CL,1,0,1,H-CL,1,1,0,1,0,1,PiL,0
SB329,S-EH,1,0,1,H-HWI,1,1,0,1,0,1,PiL,0
HB329,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB363,H-HWI,0,0,0,,,,,0,0,0,DiC,0
SB363,S-T,1,0,1,H-T,1,1,1,1,0,1,PiL,0
SB328,S-GLT,1,0,1,H-GL,1,1,0,1,0,1,PiL,0
HB328,H-CL,0,0,0,,,,,0,0,0,DiC,0
HB544,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
SB544,S-EH,1,0,1,H-HWI,1,1,0,1,0,1,PiL,0
SB876,S-GLT,0,0,0,,,,,0,0,0,DiC,0
HB876,H-A,0,0,0,,,,,0,0,0,DiC,0
HB416,H-CL,0,0,0,,,,,0,0,0,DiC,0
SB416,S-CJ; S-CJ,0,0,0,,,,,0,0,0,DiC,0
SB600,S-CJ,0,0,0,,,,,0,0,0,DiC,0
HB600,H-GL,0,0,0,,,,,0,0,0,DiC,1
SB602,S-PE,0,0,0,,,,,0,0,0,DiC,0
HB602,H-MPP,0,0,0,,,,,0,0,0,DiC,0
HB335,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
SB335,S-F,0,0,0,,,,,0,0,0,DiC,0
SB396,S-GLT,1,0,1,H-GL,1,1,0,1,0,1,PiL,0
HB396,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,0
HB235,H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PiL,0
SB235,S-EH,0,1,0,,,,,0,0,0,Inc [SB266],0
SB19,S-PE,0,0,0,,,,,0,0,0,DiC,0
HB19,H-R,0,0,0,,,,,0,0,0,DiC,0
HB662,H-R,1,0,1,S-T,1,1,0,1,0,1,PiL,0
SB662,S-CL,0,0,0,,,,,0,0,0,DiC,0
SB385,S-CJ,0,0,0,,,,,0,0,0,DiC,0
HB385,H-CJ,0,0,0,,,,,0,0,0,DiC,0
HB713,H-ACNR,0,0,0,,,,,0,0,0,DiC,0
SB713,S-EH,0,0,0,,,,,0,0,0,DiC,0
SB78,S-CJ,1,0,1,H-CJ,1,1,0,1,0,1,PiL,0
HB78,H-GL; H-A,0,0,0,,,,,0,0,0,DiC,0
HB781,H-ST,0,0,0,,,,,0,0,0,DiC,0
SB781,S-R; S-EH,0,0,0,,,,,0,0,0,DiC,0
SB307,S-T,1,0,1,H-CJ; H-T,1,1,0,1,0,1,PiL,1
HB307,H-CJ,0,0,0,,,,,0,0,0,DiC,0
HB163,H-CCT,0,0,0,,,,,0,0,0,DiC,0
SB163,S-GLT; S-F,1,0,1,H-ACNR; H-A,1,1,0,1,0,1,PiL,0
SB299,S-F,0,0,0,,,,,0,0,0,DiC,0
HB299,H-PE,0,0,0,,,,,0,0,0,DiC,0
HB141,H-CJ,0,0,0,,,,,0,0,0,DiC,0
SB141,S-T,0,0,0,,,,,0,0,0,DiC,0
SB49,S-CJ,1,0,1,H-CJ,1,1,1,0,0,0,DiS,0
HB49,H-CL,0,0,0,,,,,0,0,0,DiC,0
HB212,H-GL,1,0,1,S-R,1,1,1,1,0,1,PiL,0
SB212,S-ACNR,0,1,0,,,,,0,0,0,Inc [SB32],0
SB170,S-EH,1,0,1,H-CJ; H-E,1,1,0,1,0,1,PiL,1
HB170,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,0
HB383,H-CJ,0,0,0,,,,,0,0,0,DiC,0
SB383,S-LG,1,0,1,H-CCT,1,1,0,1,0,1,PiL,0
SB406,S-R,1,0,1,H-R,1,1,0,1,0,1,PiL,0
HB406,H-CJ,0,0,0,,,,,0,0,0,DiC,0
SB789,S-EH,0,1,0,,,,,0,0,0,Inc [SB101],0
HB789,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,0
HB348,H-R,0,0,0,,,,,0,0,0,DiC,0
SB348,S-GLT,0,0,0,,,,,0,0,0,DiC,0
SB189,S-R; S-ACNR,0,1,0,,,,,0,0,0,Inc [SB166],0
HB189,H-CJ,0,0,0,,,,,0,0,0,DiC,0
SB214,S-ACNR,0,0,0,,,,,0,0,0,DiC,0
HB214,H-T,1,0,1,S-T; S-F,1,1,1,1,0,1,PiL,0
HB409,H-CJ,0,0,0,,,,,0,0,0,DiC,0
SB409,S-EH,0,1,0,,,,,0,0,0,Inc [SB349],0
SB482,S-RSS,0,0,0,,,,,0,0,0,DiC,0
HB482,H-CJ,1,0,1,S-CJ,1,1,1,1,0,1,PiL,0
