Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended ,To Gov,Returned,Passed,Disposition,VV
HB1392,H-E,1,0,1,S-CJ;S-F,1,1,1,1,0,1,PiL,0
HB1414,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0
HB1417,H-T,0,0,0,,,,,,,,DiC,0
HB1421,H-E,0,0,0,,,,,,,,DiC,0
HB1469,H-E,0,0,0,,,,,,,,DiC,0
HB1485,H-CJ,1,0,1,S-CJ;S-F,1,1,1,1,0,1,PiL,0
HB1498,H-E;H-A,0,0,0,,,,,,,,DiC,0
HB1533,H-HWI,0,0,0,,,,,,,,DiC,0
HB1534,H-E,1,0,1,S-EH,1,0,1,,,,DiC,0
HB1535,H-E,0,0,0,,,,,,,,DiC,0
HB1536,H-E,1,0,1,S-EH,1,0,1,0,1,,DiH,0
HB1552,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1561,H-MPP,0,0,0,,,,,,,,DiC,0
HB1607,H-E,0,0,0,,,,,,,,DiC,0
HB1660,H-E,0,0,0,,,,,,,,DiC,0
HB1661,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1690,H-E;H-A,0,0,0,,,,,,,,DiC,0
HB1708,H-E,1,0,1,S-EH,1,1,1,1,1,0,V,0
HB1709,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0
HB1764,H-E;H-A,0,0,0,,,,,,,,DiC,0
HB1805,H-E;H-A,0,0,0,,,,,,,,DiC,0
HB1828,H-E;H-CJ,0,0,0,,,,,,,,DiC,0
HB1839,H-CJ,0,0,0,,,,,,,,DiC,0
HB1843,H-CJ,0,0,0,,,,,,,,DiC,0
HB1907,H-E,0,0,0,,,,,,,,DiC,0
HB1923,H-E;H-A,0,0,0,,,,,,,,DiC,0
HB1924,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB1981,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0
HB1982,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0
HB2011,H-GL,0,0,0,,,,,,,,DiC,0
HB2054,H-E,0,0,0,,,,,,,,DiC,0
