Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV,VEA Support
HB8,H-CJ,0,1,0,,,,,,,,,0,0
HB12,H-E,0,0,0,,,,,,,,DiC,0,0
HB15,H-E;H-A,0,0,0,,,,,,,,DiC,0,0
HB40,H-E,0,0,0,,,,,,,,DiC,0,1
HB49,H-E;H-A,0,0,0,,,,,,,,DiC,0,1
HB74,H-E;H-A,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,1
HB109,H-E,0,0,0,,,,,,,,DiC,0,1
HB112,H-E,0,1,0,,,,,,,,DiC,0,0
HB134,H-E,1,0,1,S-EH,1,1,0,1,0,1,DiC,0,0
HB145,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB197,H-E,0,0,0,,,,,,,,DiC,0,0
HB223,H-E,0,0,0,,,,,,,,DiC,0,0
HB231,H-E,0,0,0,,,,,,,,DiC,0,-1
HB256,H-CJ,1,1,1,S-J,1,1,0,1,0,1,PiL,0,1
HB257,H-E,1,1,1,S-EH,1,1,0,1,0,1,PiL,0,1
HB271,H-E,1,0,1,S-EH;S-FA,1,1,1,1,0,1,PiL,0,0
HB272,H-E;H-A,0,0,0,,,,,,,,DiC,0,0
HB308,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,1
HB318,H-PS,0,0,0,,,,,,,,DiC,0,1
HB332,H-E;H-A,1,0,1,S-EH,0,0,,,,,DiC,0,0
HB352,H-CTI,0,0,0,,,,,,,,DiC,0,1
HB392,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB398,H-E,0,1,0,,,,,,,,,0,1
HB402,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB405,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB415,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB483,H-E,0,1,0,,,,,,,,,0,0
HB516,H-E,1,1,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB522,H-E,0,0,0,,,,,,,,DiC,0,0
HB527,H-E,0,0,0,,,,,,,,DiC,0,0
HB634,H-E;H-A,1,0,1,S-EH,0,0,,,,,DiC,0,0
HB683,H-E,0,0,0,,,,,,,,DiC,0,0
HB694,H-E,0,0,0,,,,,,,,DiC,0,0
HB695,H-E,0,1,0,,,,,,,,,0,0
HB697,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB701,H-E,0,0,0,,,,,,,,DiC,0,0
HB703,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB710,H-E,0,0,0,,,,,,,,DiC,0,0
HB716,H-E,0,1,0,,,,,,,,,0,1
HB718,H-E,0,0,0,,,,,,,,DiC,0,1
HB753,H-E;H-A,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB797,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB817,H-CCTI,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB837,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB860,H-HWI,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB916,H-E;H-A,1,1,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB931,H-E,0,1,0,,,,,,,,,1,1
HB939,H-E,0,0,0,,,,,,,,DiC,0,0
HB958,H-E,0,0,0,,,,,,,,DiC,0,0
HB973,H-R,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB999,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1012,H-E;H-A,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,1
HB1080,H-PS,1,0,1,S-J,1,1,0,1,0,1,PiL,0,1
HB1081,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1085,H-E,0,0,0,,,,,,,,DiC,0,0
HB1089,H-E,0,0,0,,,,,,,,DiC,0,0
HB1110,H-E,0,1,0,,,,,,,,,0,0
HB1114,H-E,0,0,0,,,,,,,,DiC,0,1
HB1122,H-E,0,0,0,,,,,,,,DiC,0,0
HB1123,H-E,0,0,0,,,,,,,,DiC,0,0
HB1139,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1142,H-GL,1,0,1,S-RSS,0,0,,,,,DiC,0,0
HB1174,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1177,H-E,0,0,0,,,,,,,,DiC,0,0
HB1276,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1277,H-E,0,1,0,,,,,,,,DiC,0,1
HB1294,H-E,0,0,0,,,,,,,,DiC,1,0
HB1323,H-E,0,1,0,,,,,,,,,0,1
HB1336,H-E,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0,0
HB1388,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1394,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB1400,H-E,0,0,0,,,,,,,,DiC,0,0
HB1419,H-CJ;H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,1
HB1426,H-E;H-A,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB1432,H-E;H-HWI,0,0,0,,,,,,,,DiC,0,0
HB1508,H-E;H-A,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0,0
HB1515,H-E,0,0,0,,,,,,,,DiC,0,0
HB1554,H-E,0,1,0,,,,,,,,,0,1
HB1680,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1711,H-E;H-A,1,0,1,S-EH,0,0,,,,,DiC,0,0
HJ51,H-R,1,0,1,S-R,1,1,1,,,,PiL,0,1
HJ66,H-R,0,0,0,,,,,,,,DiC,0,0
HJ79,H-R,0,0,0,,,,,,,,DiC,0,0
SB3,S-J,1,0,1,H-CJ,1,1,0,1,1,1,PiL,0,1
SB4,S-EH;S-FA,1,0,1,H-E;H-A,0,0,,,,,DiC,0,1
SB44,S-H,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB59,S-J,1,0,1,H-CJ,0,0,,,,,DiC,0,0
SB71,S-J,1,0,1,H-CJ;H-PS,1,1,1,1,0,1,PiL,0,1
SB112,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB128,S-R;S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB129,S-EH,0,0,0,,,,,,,,DiC,0,1
SB132,S-EH,0,0,0,,,,,,,,DiC,0,0
SB135,S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB142,S-EH;S-FA,1,0,1,H-E;H-A,1,0,,,,,DiS,0,0
SB161,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB170,S-J;S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB171,S-J;S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,1
SB173,S-J,1,0,1,H-PS,1,1,0,1,0,1,PiL,0,0
SB197,S-J,0,0,0,,,,,,,,DiC,0,1
SB214,S-RSS,1,0,1,H-CJ,1,1,0,1,0,1,PiL,0,0
SB232,S-EH,1,0,1,H-E,1,1,1,1,0,1,PiL,0,0
SB237,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB238,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB299,S-EH,0,0,0,,,,,,,,DiC,0,0
SB323,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB331,S-J,0,0,0,,,,,,,,DiC,0,1
SB339,S-EH,0,0,0,,,,,,,,DiC,0,0
SB367,S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB390,S-EH,0,0,0,,,,,,,,DiC,0,1
SB410,S-EH;S-FA,1,0,1,H-E;H-A,1,1,1,1,0,1,PiL,0,0
SB420,S-EH,1,0,1,H-HWI;H-E,0,0,,,,,DiC,0,0
SB463,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB551,S-EH,0,0,0,,,,,,,,DiC,0,0
SB578,S-FA,1,0,1,H-E,1,1,0,1,0,1,DiC,0,1
SB599,S-R,0,0,0,,,,,,,,DiC,0,0
SB600,S-EH,1,0,1,H-R,1,1,0,1,0,1,PiL,0,0
SB619,S-EH;S-FA,1,0,1,H-E;H-A,1,1,0,1,0,1,PiL,0,1
SB729,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,1
SB779,S-R;S-FA,0,0,0,,,,,,,,DiC,0,0
SB845,S-EH,1,0,1,H-E;H-A,1,1,1,1,0,1,PiL,0,0
SB847,S-EH,0,0,0,,,,,,,,DiC,0,1
SB853,S-EH;S-FA,1,0,1,H-E,1,1,1,1,0,1,PiL,0,0
SB933,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB934,S-EH,0,0,0,,,,,,,,DiC,0,0
SB1020,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,1
SB1034,S-R,0,0,0,,,,,,,,DiC,0,1
SB1078,S-EH,0,0,0,,,,,,,,DiC,0,0
SJ77,S-R;S-A,0,0,0,,,,,,,,DiC,0,1
