Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended ,To Gov,Returned,Passed,Disposition,VV,VEA Support
HB4,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB8,H-E,1,0,1,S-EH;S-R,0,0,,,,,DiC,0,-1
HB12,H-E,0,0,0,,,,,,,,DiC,0,0
HB37,H-E,0,0,0,,,,,,,,DiC,0,0
HB41,H-E,0,0,0,,,,,,,,DiC,0,0
HB59,H-E,0,0,0,,,,,,,,DiC,0,0
HB89,H-E,1,0,1,S-EH;S-R,0,0,,,,,DiC,0,0
HB113,H-E,0,0,0,,,,,,,,DiC,0,0
HB133,H-R,0,0,0,,,,,,,,DiC,0,-1
HB201,H-E;H-A,0,0,0,,,,,,,,DiC,0,0
HB221,H-E;H-A,1,0,1,S-EH;S-FA,0,0,,,,,DiC,0,0
HB308,H-E,0,0,0,,,,,,,,DiC,0,0
HB313,H-E,0,0,0,,,,,,,,DiC,0,0
HB319,H-E;H-A,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0,0
HB340,H-E,1,0,1,S-EH,0,0,,,,,DiC,0,0
HB362,H-E,0,0,0,,,,,,,,DiC,0,0
HB371,H-E,0,0,0,,,,,,,,DiC,0,1
HB389,H-E;H-A,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0,0
HB391,H-E,0,0,0,,,,,,,,DiC,0,-1
HB418,H-E;H-A,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,-1
HB433,H-E;H-A,0,0,0,,,,,,,,DiC,0,0
HB486,H-E,0,0,0,,,,,,,,DiC,0,0
HB533,H-E,0,0,0,,,,,,,,DiC,0,0
HB583,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB585,H-E;H-A,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0,0
HB636,H-E,0,0,0,,,,,,,,DiC,0,0
HB649,H-E;H-A,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0,0
HB650,H-E,0,0,0,,,,,,,,DiC,0,1
HB688,H-E,0,0,0,,,,,,,,DiC,0,0
HB741,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB781,H-E,0,0,0,,,,,,,,DiC,0,0
HB785,H-E,0,0,0,,,,,,,,DiC,0,0
HB786,H-E,0,0,0,,,,,,,,DiC,0,0
HB787,H-E,1,0,1,S-EH,0,0,,,,,DiC,0,1
HB789,H-E,1,0,1,S-EH,0,0,,,,,DiC,0,0
HB844,H-E,0,0,0,,,,,,,,DiC,0,0
HB863,H-E,0,0,0,,,,,,,,DiC,0,0
HB873,H-E;H-A,1,0,1,S-EH;S-FA,1,1,0,1,0,1,PiL,0,1
HB938,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB946,H-E,0,0,0,,,,,,,,DiC,0,0
HB977,H-E,0,0,0,,,,,,,,DiC,0,1
HB985,H-E,0,0,0,,,,,,,,DiC,0,0
HB988,H-E,0,0,0,,,,,,,,DiC,0,0
HB1007,H-E,0,0,0,,,,,,,,DiC,0,0
HB1009,H-E,1,0,1,S-EH,0,0,,,,,DiC,0,0
HB1022,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1023,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1032,H-E,0,0,0,,,,,,,,DiC,0,0
HB1034,H-E,1,0,1,S-EH,0,0,,,,,DiC,0,0
HB1036,H-E,0,0,0,,,,,,,,DiC,0,0
HB1047,H-E,0,0,0,,,,,,,,DiC,0,1
HB1064,H-E;H-A,1,0,1,S-E;S-FA,0,0,,,,,DiC,0,0
HB1068,H-E,0,0,0,,,,,,,,DiC,0,0
HB1093,H-E,1,0,1,S-EH,0,0,,,,,DiC,0,1
HB1108,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1124,H-E,0,0,0,,,,,,,,DiC,0,0
HB1125,H-E,0,0,0,,,,,,,,DiC,0,0
HB1129,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,1
HB1179,H-E,0,0,0,,,,,,,,DiC,0,0
HB1184,H-E,0,0,0,,,,,,,,DiC,0,1
HB1215,H-E,1,0,1,S-EH,1,1,1,1,0,1,PiL,0,0
HB1272,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1299,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1315,H-E,0,0,0,,,,,,,,DiC,0,0
HB1328,H-E,1,0,1,S-EH,1,1,0,1,0,1,PiL,0,0
HB1347,H-E,0,0,0,,,,,,,,DiC,0,0
HB1352,H-E,1,0,1,S-EH;S-J,0,0,,,,,DiC,0,0
HJ19,H-R,0,0,0,,,,,,,,DiC,0,0
SB2,S-EH,0,1,0,,,,,,,,,0,0
SB20,S-EH,0,0,0,,,,,,,,DiC,0,0
SB36,S-EH,1,1,1,H-E,1,1,0,1,0,1,PiL,0,0
SB78,S-EH,1,0,1,H-E,1,1,1,1,0,1,PiL,0,0
SB156,S-EH;S-FA,1,0,1,H-E,0,0,,,,,DiC,0,1
SB161,S-EH;S-FA,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB239,S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB261,S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB265,S-EH;S-FA,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB275,S-EH,0,0,0,,,,,,,,DiC,0,0
SB285,S-EH,0,0,0,,,,,,,,DiC,0,0
SB287,S-EH,0,1,0,,,,,,,,,0,0
SB356,S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB384,S-EH;S-FA,1,0,1,H-E,0,0,,,,,DiC,0,1
SB415,S-EH,0,0,0,,,,,,,,DiC,0,1
SB430,S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB490,S-EH;S-FA,1,0,1,H-E;H-A,1,0,,,,,DiH,0,1
SB570,S-EH,0,0,0,,,,,,,,DiC,0,0
SB600,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,1
SB613,S-EH,0,1,0,,,,,,,,,0,0
SB616,S-EH;S-FA,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB628,S-EH;S-FA,0,0,0,,,,,,,,DiC,0,0
SB649,S-J,1,0,1,H-CJ,1,1,0,1,0,1,PiL,0,1
SB656,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB662,S-EH,1,0,1,H-E,0,0,,,,,DiC,0,0
SB737,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB738,S-EH,1,0,1,H-E,1,1,0,1,0,1,PiL,0,0
SB739,S-EH,1,0,1,H-E,1,1,1,1,0,1,PiL,0,0
SB766,S-EH,0,0,0,,,,,,,,DiC,0,0
