Bill,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,VV
HB1636,H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PIL,0
HB1637,H-T,1,0,1,S-T,1,1,1,1,0,1,PIL,0
HB1648,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1662,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1664,H-T;H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PIL,0
HB1677,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1678,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1679,H-F,1,0,1,S-F,1,1,0,1,0,1,PIL,0
HB1695,H-T;H-CJ,0,0,0,,,,,,,0,DIC,0
HB1697,H-T;H-CJ,0,0,0,,,,,,,0,DIC,0
HB1703,H-F,0,0,0,,,,,,,0,DIC,0
HB1705,H-T,0,0,0,,,,,,,0,DIC,0
HB1708,H-T,0,0,0,,,,,,,0,DIC,0
HB1709,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1710,H-E;H-A,0,0,0,,,,,,,0,DIC,0
HB1711,H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PIL,0
HB1712,H-CJ,1,0,1,S-CJ,1,1,0,1,0,1,PIL,0
HB1744,H-CJ,0,0,0,,,,,,,0,DIC,0
HB1768,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1777,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1780,H-T,0,0,0,,,,,,,0,DIC,0
HB1781,H-T,0,0,0,,,,,,,0,DIC,0
HB1786,H-T,1,0,1,S-T,1,1,1,1,0,1,PIL,0
HB1789,H-CL,0,0,0,,,,,,,0,DIC,0
HB1799,H-CJ;H-A,0,0,0,,,,,,,0,DIC,0
HB1802,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1805,H-T,0,0,0,,,,,,,0,DIC,0
HB1811,H-CJ,1,0,1,S-CJ,1,1,1,0,0,0,DiH,0
HB1818,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1832,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1842,H-R,0,0,0,,,,,,,0,DIC,0
HB1843,H-T,0,0,0,,,,,,,0,DIC,0
HB1846,H-T,0,0,0,,,,,,,0,DIC,0
HB1865,H-T,1,0,1,S-T,1,1,1,1,0,1,PIL,0
HB1867,H-CL,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1872,H-T,0,0,0,,,,,,,0,DIC,0
HB1883,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PIL,0
HB1911,H-CJ,1,0,1,S-CJ,1,1,1,1,1,1,PIL,0
HB1926,H-T,0,0,0,,,,,,,0,DIC,0
HB1927,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB1941,H-CJ,1,0,1,S-CJ,1,1,1,1,0,1,PIL,0
HB1983,H-T,1,0,1,S-T,1,1,1,1,0,1,PIL,0
HB2011,H-T,1,0,1,S-T,1,1,0,1,0,1,PIL,0
HB2025,H-T,0,0,0,,,,,,,0,DIC,0
