Bill,Session,SC Position,Com 1,Pass Com 1,Incorporated,Pass Floor 1,Com 2,Pass Com 2,Pass Floor 2,Amended,To Gov,Returned,Passed,Disposition,File Date,Final Date,Sponsor 1,Sponsor 2,Sponsor 3,Sponsor 4,Sponsor 5,Sponsor 6,Sponsor 7,Sponsor 8,Sponsor 9,Sponsor 10,Sponsor 11,Sponsor 12,Sponsor 13,Sponsor 14,Sponsor 15,Sponsor 16,Sponsor 17,Sponsor 18,Sponsor 19,Sponsor 20,Sponsor 21,Sponsor 22,Sponsor 23,Sponsor 24,Sponsor 25,Sponsor 26,Sponsor 27,Sponsor 28,Sponsor 29,Sponsor 30,Sponsor 31,Sponsor 32,Sponsor 33,Sponsor 34,Sponsor 35,Sponsor 36,Sponsor 37,Sponsor 38,Sponsor 39,Sponsor 40,Sponsor 41,Sponsor 42,Sponsor 43,Sponsor 44,Sponsor 45,Sponsor 46,Sponsor 47,Sponsor 48,Sponsor 49,Sponsor 50,Sponsor 51,Sponsor 52,Sponsor 53,Sponsor 54,Sponsor 55
HB1001,2015,0,H-CL,0,0,,,,,,,,0,DiC,20140108,20141204,David Yancey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1059,2015,0,H-CL,1,0,1,S-CL,0,,,,,0,DiC,20140108,20141204,Terry Kilgore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1228,2015,1,H-CL,0,0,,,,,,,,0,DiC,20140117,20141204,Terry Kilgore,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1234,2015,0,H-ACNR,0,0,,,,,,,,0,DiC,20140117,20141204,Dave Albo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1297,2015,1,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL,20141105,20150317,Tim Hugo,Ron Villanueva,Marcus Simon,Glenn Davis,Sam Rasoul,Rip Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1345,2015,1,H-F,1,0,1,S-F,1,1,0,1,0,1,PiL,20141201,20150310,Tim Hugo,Betsy Carr,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1364,2015,1,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,20141204,20150327,Chris Peace,Keith Hodges,Margaret Ransone,Buddy Fowler,Monty Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1446,2015,1,H-CCT,1,0,1,S-LG,1,1,0,1,0,1,PiL,20141230,20150323,David Bulova,Danny Marshall,Randy Minchew,David Ramadan,Monty Mason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1475,2015,0,H-CL,1,0,1,S-CL,1,1,0,1,0,1,PiL,20150102,20150317,Lee Ware,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1488,2015,0,H-ACNR,1,0,1,S-ACNR,1,1,0,1,0,1,PiL,20150105,20150310,Rob Bell,Jackson Miller,Bobby Orrock,Brenda Pogge,Rich Anderson,Mark Keam,Scott Surovell,Matt Fariss,Rick Morris,David Ramadan,Margaret Ransone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1622,2015,1,H-CL,0,0,,,,,,,,0,DiC,20150108,20150210,Randy Minchew,Rip Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1636,2015,1,H-CL,0,0,,,,,,,,0,DiC,20150108,20150205,Vivian Watts,Ron Villanueva,Scott Surovell,Betsy Carr,Tony Wilt,Randy Minchew,Joseph Yost,Rip Sullivan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1650,2015,1,H-ACNR; H-A,0,0,,,,,,,,0,DiC,20150109,20150210,Ron Villanueva,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1651,2015,-1,H-F,0,0,,,,,,,,0,DiC,20150109,20150210,Scott Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
HB1665,2015,1,H-ACNR; H-CCT,0,0,,,,,,,,0,DiC,20150109,20150206,Bill Howell,Terry Kilgore,Vivian Watts,Kaye Kory,Ron Villanueva,Betsy Carr,Randy Minchew,Michael Futrell,Rip Sullivan,Joe Preston,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
