Name,VPAP Name,ID,Party,Chamber,Status,District,First Year
Edward T. Scott,Ed Scott,50021,Republican,House,Retired,HD30,2004
R. Lee Ware,Lee Ware,25934,Republican,House,Active,HD72,1998
"Thomas C. Wright, Jr.",Tommy Wright,1805,Republican,House,Active,HD61,2001
"Robert D. Orrock, Sr.",Bobby Orrock,5461,Republican,House,Active,HD54,1990
"Daniel W. Marshall, III",Danny Marshall,15110,Republican,House,Active,HD14,2002
Charles D. Poindexter,Charles Poindexter,98360,Republican,House,Retired,HD9,2008
Barry D. Knight,Barry Knight,87338,Republican,House,Active,HD81,2009
"James E. Edmunds, II",James Edmunds,83615,Republican,House,Active,HD60,2010
Tony O. Wilt,Tony Wilt,77401,Republican,House,Active,HD26,2010
James W. Morefield,Will Morefield,167033,Republican,House,Active,HD3,2010
Michael J. Webert,Michael Webert,198549,Republican,House,Active,HD18,2012
Margaret B. Ransone,Margaret Ransone,85821,Republican,House,Active,HD99,2012
C. Matthew Fariss,Matt Fariss,198425,Republican,House,Active,HD59,2012
Jackson H. Miller,Jackson Miller,60848,Republican,House,Retired,HD50,2006
"Robert S. Bloxom, Jr.","Rob Bloxom, Jr",247902,Republican,House,Active,HD100,2014
Kenneth R. Plum,Ken Plum,37,Democrat,House,Active,HD36,1978
David L. Bulova,David Bulova,24155,Democrat,House,Active,HD37,2006
Matthew James,Matthew James,162405,Democrat,House,Retired,HD80,2010
Luke E. Torian,Luke Torian,161769,Democrat,House,Active,HD52,2010
Mark L. Keam,Mark Keam,159357,Democrat,House,Active,HD35,2010
Alfonso H. Lopez,Alfonso Lopez,59777,Democrat,House,Active,HD49,2012
"Richard C. ""Rip"" Sullivan, Jr.",Rip Sullivan,38277,Democrat,House,Active,HD48,2014
Brenda L. Pogge,Brenda Pogge,79793,Republican,House,Retired,HD96,2008
Dawn M. Adams,Dawn Adams,289566,Democrat,House,Active,HD68,2018
Wendy W. Gooditis,Wendy Gooditis,289576,Democrat,House,Active,HD10,2018
Debra H. Rodman,Debra Rodman,289677,Democrat,House,Retired,HD73,2018
Charniele L. Herring,Charniele Herring,65422,Democrat,House,Active,HD46,2009
Roslyn C. Tyler,Roslyn Tyler,79002,Democrat,House,Retired,HD75,2006
Kathy K.L. Tran,Kathy Tran,289614,Democrat,House,Active,HD42,2018
Dan I. Helmer,Dan Helmer,297214,Democrat,House,Active,HD40,2020
Joshua G. Cole,Joshua Cole,285632,Democrat,House,Retired,HD28,2020
Sally L. Hudson,Sally Hudson,296517,Democrat,House,Active,HD57,2020
Shelly A. Simonds,Shelly Simonds,106052,Democrat,House,Active,HD94,2020
Rodney T. Willett,Rodney Willett,50154,Democrat,House,Active,HD73,2020
Nancy D. Guy,Nancy Guy,287227,Democrat,House,Retired,HD83,2020
