Chamber,Name,"Date Started",Party,"District #","District Description",Sex,E-Mail,Website,"Place Name",Longitude,Latitude,"LIS ID 1","LIS ID 2","RS ID","SBE ID"
house,"Adams, Dawn",2018-01-10,D,68,"Counties of Chesterfield (part) and Henrico (part); City of Richmond (part)",female,DelDAdams@house.virginia.gov,https://www.delegateadams.com/,Richmond,37.5517,-77.4622,"adams, d.m.",289,dmadams,
house,"Adams, Les",2014-01-08,R,16,"Counties of Henry (part) and Pittsylvania (part); City of Martinsville",male,DelLAdams@house.virginia.gov,http://lesadams.org/,Chatham,0,0,adams,252,lradams,
house,"Anderson, Tim",2022-01-12,R,83,"Cities of Norfolk (part) and Virginia Beach (part)",male,deltanderson@house.virginia.gov,https://www.timforva.com/,"Virginia Beach",-76.14,36.9,anderson,332,tvanderson,
house,"Austin, Terry",2014-01-08,R,19,"Counties of Alleghany, Bedford (part), and Botetourt (part); Cities of Bedford and Covington",male,DelTAustin@house.virginia.gov,http://www.austinfordelegate.com/,Buchanan,0,0,austin,253,tlaustin,
house,"Avoli, John",2020-01-08,R,20,"Counties of Augusta (part), Highland, and Nelson (part); Cities of Staunton and Waynesboro",male,DelJAvoli@house.virginia.gov,https://johnavoli.com/,Staunton,38.15,-79.07,avoli,312,gavoli,CC-19-00092
house,"Bagby, Lamont",2016-01-13,D,74,"Counties of Charles City and Henrico (part); City of Richmond (part)",male,DelLBagby@house.virginia.gov,http://www.lamontbagby.org/,Richmond,37.56,-77.45,bagby,273,lbagby,
house,"Ballard, Jason",2022-01-12,R,12,"Counties of Giles, Montgomery (part), and Pulaski (part); City of Radford",male,deljballard@house.virginia.gov,https://ballardfordelegate.com/,Pearisburg,-80.72,37.33,ballard,333,jsballard,
senate,"Barker, George",2008-01-09,D,39,"Fairfax County (Part), Prince William County (Part), Alexandria City (Part)",male,district39@senate.virginia.gov,http://www.senatorbarker.com/,Alexandria,38.8273,-77.0879,barker,71,glbarker,CC-12-01231
house,"Batten, Amanda",2020-01-08,R,96,"Counties of James City (part) and York (part)",female,DelABatten@house.virginia.gov,https://amandabatten.com/,Toano,37.38,-76.8,batten,313,aebatten,CC-19-00399
senate,"Bell, John",2016-01-13,D,13,"Loudoun County (Part), Prince William County (Part)",male,district13@senate.virginia.gov,https://voteforjohnbell.com/,Chantilly,38.89,-77.44,jjbell,107,jjbell,CC-18-00460
house,"Bell, Rob",2002-01-01,R,58,"Counties of Albemarle (part), Fluvanna (part), Greene, and Rockingham (part)",male,DelRBell@house.virginia.gov,http://www.delegaterobbell.com/,Charlottesville,38.1646,-78.4198,"bell, robert b.",139,rbbell,CC-12-01033
