Year,"Bill #","Section #"
2006,HB2,33.1-288
2006,HB3,51.1-1401
2006,HB4,51.1-155
2006,HB5,29.1-314
2006,HB8,46.2-800.2
2006,HB10,51.1-142.2
2006,HB11,24.2-703.2
2006,HB11,24.2-700
2006,HB11,24.2-706
2006,HB11,24.2-701
2006,HB11,24.2-612
2006,HB12,58.1-626
2006,HB12,58.1-611.2
2006,HB12,58.1-625
2006,HB13,32.1-50
2006,HB14,10.1-1126.1
2006,HB15,2.2-2831
2006,HB17,51.1-124.3
2006,HB17,58.1-322
2006,HB18,46.2-1157
2006,HB19,22.1-253.13:4
2006,HB20,22.1-289
2006,HB21,19.2-11.01
2006,HB22,46.2-1167
2006,HB22,46.2-1163
2006,HB23,46.2-1550
2006,HB24,24.2-704
2006,HB24,24.2-1012
2006,HB24,24.2-649
2006,HB25,19.2-82.1
2006,HB26,46.2-1012
2006,HB27,8.01-44.5
2006,HB28,18.2-248
2006,HB29,18.2-370.1
2006,HB30,15.2-1610
2006,HB31,18.2-248
2006,HB32,63.2-1715
2006,HB33,44-93
2006,HB34,59.1-200
2006,HB35,51.1-1401
2006,HB36,23-276.12
2006,HB37,51.1-138
2006,HB38,23-276.4
2006,HB39,34-4
2006,HB40,58.1-901
2006,HB41,18.2-270
2006,HB42,18.2-36.1
2006,HB43,37.2-817
2006,HB44,18.2-270
2006,HB45,18.2-10
2006,HB46,24.2-411.1
2006,HB46,24.2-445
2006,HB51,22.1-177
2006,HB54,54.1-3926
2006,HB55,2.2-1515
2006,HB56,63.2-1509
2006,HB57,23-9.2:3.02
2006,HB59,51.1-1400
2006,HB60,51.1-138
2006,HB61,24.2-404
2006,HB62,16.1-69.6:1
2006,HB63,17.1-507
2006,HB64,2.2-4337
2006,HB64,2.2-4336
2006,HB66,63.2-2201
2006,HB67,58.1-816
2006,HB68,17.1-329
2006,HB68,17.1-275
2006,HB68,17.1-418
2006,HB68,16.1-69.48:2
2006,HB68,17.1-328
2006,HB68,17.1-132
2006,HB69,58.1-609.2
2006,HB70,18.2-57
2006,HB71,24.2-527
2006,HB71,24.2-511
2006,HB73,63.2-304
2006,HB74,2.2-5206
2006,HB78,15.2-2307
2006,HB79,46.2-301.1
2006,HB80,24.2-701
2006,HB80,24.2-700
2006,HB82,51.1-212
2006,HB84,22.1-177
2006,HB85,58.1-638
2006,HB86,58.1-322
2006,HB87,58.1-3211
2006,HB88,33.1-223.2:16
2006,HB89,51.1-206
2006,HB89,51.1-217
2006,HB89,51.1-155
2006,HB90,46.2-221.2
2006,HB91,4.1-306
2006,HB92,36-141
2006,HB92,36-150
2006,HB92,36-137
2006,HB92,36-142
2006,HB92,46.2-749.129
2006,HB92,36-139
2006,HB92,36-147
2006,HB92,58.1-344.3
2006,HB93,55-519
2006,HB93,15.2-2242
2006,HB93,15.2-2286
2006,HB94,15.2-1800
2006,HB94,15.2-1814
2006,HB95,22.1-3.2
2006,HB96,58.1-439.2
2006,HB97,19.2-71
2006,HB97,19.2-72
2006,HB97,19.2-45
2006,HB98,46.2-373
2006,HB99,16.1-136
2006,HB99,19.2-398
2006,HB99,16.1-134
2006,HB99,19.2-400
2006,HB100,22.1-205
2006,HB102,46.2-301
2006,HB103,51.1-142.2
2006,HB104,10.1-418.2
2006,HB106,46.2-1023
2006,HB108,2.2-1515
2006,HB110,2.2-5510
2006,HB111,46.2-1051
2006,HB112,58.1-2405
2006,HB113,4.1-306
2006,HB114,4.1-305
2006,HB115,8.01-511
2006,HB115,8.01-512.3
2006,HB116,46.2-1600
2006,HB117,33.1-23.2
2006,HB118,58.1-638
2006,HB119,33.1-23.2
2006,HB120,54.1-3926
2006,HB121,58.1-3211
2006,HB122,2.2-4310
2006,HB125,19.2-12
2006,HB126,16.1-250
2006,HB127,19.2-163
2006,HB128,15.2-2286
2006,HB128,15.2-2298
2006,HB128,15.2-852
2006,HB128,15.2-2289
2006,HB128,15.2-2303
2006,HB128,55-79.43
2006,HB128,15.2-2297
2006,HB128,15.2-2310
2006,HB129,32.1-13
2006,HB130,58.1-609.1
2006,HB131,58.1-626
2006,HB131,58.1-611.2
2006,HB131,58.1-625
2006,HB132,25.1-219
2006,HB132,25.1-229
2006,HB132,25.1-213
2006,HB132,36-27
2006,HB132,25.1-220
2006,HB132,25.1-100
2006,HB132,25.1-235
2006,HB132,25.1-214
2006,HB132,62.1-98
2006,HB132,25.1-228
2006,HB132,25.1-209
2006,HB132,25.1-318
2006,HB134,23-4.4
2006,HB134,2.2-2233.2
2006,HB134,23-4.3
2006,HB135,20-27
2006,HB137,22.1-253.13:3
2006,HB138,24.2-417
2006,HB139,15.2-1901
2006,HB140,58.1-3506
2006,HB140,58.1-3524
2006,HB140,58.1-3506.1
2006,HB140,58.1-3912
2006,HB140,30-133
2006,HB140,58.1-3523
2006,HB141,15.2-2317
2006,HB142,15.2-2291
2006,HB143,33.1-12
2006,HB144,60.2-618
2006,HB145,58.1-1720
2006,HB146,18.2-308
2006,HB147,15.2-2403
2006,HB148,15.2-2114
2006,HB149,15.2-2403
2006,HB150,29.1-521
2006,HB151,54.1-2806
2006,HB151,54.1-2800
2006,HB151,54.1-2813
2006,HB151,54.1-2803
2006,HB151,54.1-2817
2006,HB152,19.2-72
2006,HB152,19.2-45
2006,HB152,19.2-71
2006,HB154,23-234
2006,HB155,58.1-3221.2
2006,HB156,1-510
2006,HB158,46.2-844
2006,HB159,58.1-422
2006,HB160,46.2-116
2006,HB161,58.1-322
2006,HB163,22.1-207.2
2006,HB164,22.1-207.1
2006,HB165,33.1-23.4
2006,HB165,33.1-23.2
2006,HB166,58.1-815.4
2006,HB167,18.2-308
2006,HB168,58.1-485.1
2006,HB169,58.1-3321
2006,HB170,24.2-410.1
2006,HB170,24.2-427
2006,HB171,46.2-1245
2006,HB172,29.1-103.1
2006,HB173,54.1-2969
2006,HB174,58.1-3819
2006,HB175,46.2-1129
2006,HB176,19.2-163
2006,HB177,53.1-120
2006,HB178,15.2-1609.1
2006,HB179,53.1-120
2006,HB179,15.2-1609.1
2006,HB180,18.2-19
2006,HB181,19.2-81
2006,HB182,46.2-862
2006,HB183,25.1-108
2006,HB184,36-49.1:1
2006,HB186,2.2-2525
2006,HB186,2.2-2526
2006,HB188,19.2-264.4
2006,HB189,32.1-123
2006,HB189,32.1-133
2006,HB189,32.1-126
2006,HB189,32.1-130
2006,HB189,32.1-125
2006,HB189,32.1-135
2006,HB189,32.1-127
2006,HB189,32.1-131
2006,HB189,32.1-125.1
2006,HB189,32.1-129
2006,HB190,15.2-1900
2006,HB190,15.2-1901
2006,HB192,34-34
2006,HB193,8.3A-118.1
2006,HB194,58.1-3969
2006,HB197,20-14
2006,HB198,33.1-391.6
2006,HB199,58.1-2401
2006,HB199,58.1-602
2006,HB200,33.1-223.2:16
2006,HB201,33.1-228.1
2006,HB202,58.1-3211
2006,HB203,2.2-1147.2
2006,HB203,15.2-1800
2006,HB204,46.2-1077
2006,HB205,18.2-370.3
2006,HB206,15.2-2403
2006,HB207,53.1-67.4
2006,HB208,38.2-401
2006,HB208,9.1-202
2006,HB209,42.1-76.1
2006,HB209,42.1-87
2006,HB209,42.1-79
2006,HB209,42.1-86
2006,HB209,42.1-77
2006,HB209,42.1-90.1
2006,HB209,42.1-82
2006,HB209,17.1-213
2006,HB209,42.1-86.1
2006,HB209,42.1-78
2006,HB209,42.1-85
2006,HB210,42.1-97
2006,HB210,2.2-609
2006,HB210,42.1-92
2006,HB211,54.1-2105
2006,HB212,58.1-609.11
2006,HB215,22.1-202.1
2006,HB216,22.1-254.01
2006,HB216,22.1-199.2
2006,HB217,36-49.1:1
2006,HB218,53.1-106
2006,HB218,53.1-112
2006,HB218,53.1-106.1
2006,HB218,53.1-105
2006,HB218,53.1-107
2006,HB219,58.1-439.12:02
2006,HB221,53.1-1.1
2006,HB221,56-234
2006,HB223,22.1-212.5:1
2006,HB223,22.1-212.12
2006,HB223,22.1-212.5
2006,HB223,22.1-212.10
2006,HB224,53.1-120
2006,HB227,63.2-1612
2006,HB228,24.2-101.1
2006,HB229,32.1-325
2006,HB232,24.2-310
2006,HB233,46.2-1078.1
2006,HB234,17.1-275.8
2006,HB234,17.1-275.2
2006,HB234,9.1-116.1
2006,HB234,16.1-69.48:1
2006,HB234,17.1-275.7
2006,HB234,17.1-275.1
2006,HB235,53.1-106
2006,HB236,33.1-464
2006,HB238,59.1-391
2006,HB239,20-27
2006,HB240,22.1-2
2006,HB241,25.1-108
2006,HB242,58.1-3818.01
2006,HB243,18.2-57
2006,HB244,55-237.1
2006,HB245,58.1-322
2006,HB246,58.1-339.11
2006,HB247,9.1-914
2006,HB248,58.1-610
2006,HB249,58.1-322
2006,HB250,46.2-1542
2006,HB251,46.2-316
2006,HB252,28.2-409
2006,HB252,28.2-410
2006,HB254,18.2-152.4
2006,HB255,9.1-407
2006,HB256,44-83
2006,HB260,10.1-1152
2006,HB261,38.2-1869
2006,HB261,38.2-1868.1
2006,HB262,23-9.2:3
2006,HB263,46.2-708
2006,HB263,46.2-706
2006,HB264,46.2-472
2006,HB266,15.2-969
2006,HB268,15.2-2114
2006,HB269,2.2-1176.1
2006,HB270,58.1-339.11
2006,HB271,9.1-914
2006,HB273,22.1-289.1
2006,HB274,22.1-293
2006,HB274,22.1-60
2006,HB274,22.1-294
2006,HB274,23-9.2:3.4
2006,HB274,22.1-298
2006,HB275,23-31
2006,HB275,22.1-298
2006,HB275,23-38.93
2006,HB275,22.1-84
2006,HB276,22.1-253.13:9
2006,HB277,58.1-3211
2006,HB279,2.2-204
2006,HB279,2.2-230
2006,HB279,2.2-200
2006,HB280,46.2-337
2006,HB282,60.2-114
2006,HB283,15.2-2119
2006,HB284,46.2-694.1
2006,HB285,54.1-2105
2006,HB286,55-519
2006,HB287,46.2-325
2006,HB288,46.2-730
2006,HB290,54.1-3307
2006,HB298,5.1-44
2006,HB299,54.1-3320
2006,HB300,45.1-161.292:43
2006,HB300,54.1-3812
2006,HB300,32.1-138
2006,HB300,46.2-1241
2006,HB300,59.1-310.4
2006,HB300,32.1-50
2006,HB300,46.2-731
2006,HB300,2.2-2818
2006,HB300,45.1-161.70
2006,HB300,59.1-297
2006,HB300,32.1-325
2006,HB300,46.2-208
2006,HB300,63.2-1716
2006,HB300,32.1-60
2006,HB300,53.1-22
2006,HB300,22.1-178
2006,HB300,46.2-1240
2006,HB300,59.1-298
2006,HB300,32.1-46
2006,HB300,46.2-322
2006,HB300,63.2-1808
2006,HB301,24.2-701
2006,HB301,24.2-706
2006,HB302,54.1-3434.1
2006,HB303,8.01-2
2006,HB304,46.2-214
2006,HB305,23-9.6:1
2006,HB306,30-133
2006,HB306,58.1-3506
2006,HB306,46.2-623
2006,HB306,58.1-3506.1
2006,HB306,58.1-320
2006,HB306,58.1-3912
2006,HB307,15.2-2286
2006,HB308,15.2-2209
2006,HB309,33.1-46.2
2006,HB310,23-9.3:1
2006,HB311,2.2-2818.1
2006,HB313,19.2-163
2006,HB313,16.1-267
2006,HB314,46.2-206.1
2006,HB315,58.1-3321
2006,HB316,54.1-2130
2006,HB316,54.1-2138.1
2006,HB316,54.1-2134
2006,HB316,54.1-2141
2006,HB316,54.1-2138
2006,HB317,56-446.1
2006,HB319,58.1-3503
2006,HB320,55-248.31
2006,HB321,4.1-209
2006,HB322,38.2-3407.15
2006,HB323,38.2-3407.10
2006,HB326,65.2-101
2006,HB327,58.1-3506
2006,HB328,58.1-609.10
2006,HB332,54.1-3005
2006,HB332,54.1-3013
2006,HB333,51.1-124.22
2006,HB334,24.2-701
2006,HB334,24.2-612
2006,HB334,24.2-703.2
2006,HB334,24.2-700
2006,HB334,24.2-706
2006,HB337,15.2-2201
2006,HB337,15.2-2259
2006,HB337,15.2-2260
2006,HB341,10.1-2211
2006,HB342,19.2-82.1
2006,HB343,32.1-162.3
2006,HB344,46.2-1051
2006,HB344,46.2-629
2006,HB344,46.2-915.1
2006,HB344,46.2-1993.39
2006,HB344,46.2-644.1
2006,HB344,58.1-3523
2006,HB344,46.2-619
2006,HB344,46.2-679.1
2006,HB344,46.2-1993
2006,HB344,46.2-637
2006,HB344,58.1-3503
2006,HB344,46.2-1993.55
2006,HB344,46.2-644.2
2006,HB344,46.2-100
2006,HB344,46.2-623
2006,HB344,46.2-679.2
2006,HB344,46.2-1993.35
2006,HB344,46.2-638
2006,HB344,58.1-3504
2006,HB344,46.2-616
2006,HB344,46.2-644.3
2006,HB345,10.1-612.1
2006,HB345,10.1-606.1
2006,HB345,10.1-613.5
2006,HB345,10.1-609.2
2006,HB345,10.1-604
2006,HB345,10.1-613
2006,HB345,10.1-607.1
2006,HB345,2.2-3705.2
2006,HB345,10.1-610.1
2006,HB345,10.1-605.1
2006,HB345,10.1-613.1
2006,HB345,10.1-609
2006,HB346,23-38.88
2006,HB347,22.1-254.2
2006,HB347,22.1-223
2006,HB347,22.1-254
2006,HB348,22.1-253.13:3
2006,HB348,22.1-16
2006,HB348,22.1-19.1
2006,HB348,2.2-3705.3
2006,HB349,22.1-98
2006,HB351,54.1-2505
2006,HB351,54.1-113
2006,HB352,37.2-808
2006,HB352,37.2-809
2006,HB353,37.2-829
2006,HB353,37.2-808
2006,HB353,37.2-810
2006,HB354,54.1-2604
2006,HB355,54.1-3307
2006,HB356,24.2-411.1
2006,HB356,24.2-445
2006,HB357,46.2-411
2006,HB359,38.2-3726
2006,HB361,23-107
2006,HB361,23-105
2006,HB362,29.1-109
2006,HB362,2.2-107
2006,HB362,29.1-108
2006,HB363,46.2-1139
2006,HB364,18.2-272
2006,HB364,18.2-266
2006,HB364,18.2-271
2006,HB364,4.1-333
2006,HB364,18.2-268.10
2006,HB364,18.2-271.1
2006,HB364,18.2-259.1
2006,HB364,8.01-44.5
2006,HB364,18.2-269
2006,HB366,46.2-905
2006,HB366,46.2-100
2006,HB366,46.2-907
2006,HB366,46.2-808
2006,HB366,46.2-932
2006,HB366,46.2-906
2006,HB366,46.2-1047
2006,HB366,46.2-908.1
2006,HB366,46.2-904
2006,HB366,15.2-919
2006,HB366,46.2-906.1
2006,HB366,46.2-1049
2006,HB366,46.2-911.1
2006,HB367,46.2-604
2006,HB368,16.1-340
2006,HB368,16.1-341
2006,HB369,51.1-207
2006,HB369,51.1-219
2006,HB369,51.1-155
2006,HB369,51.1-208
2006,HB369,51.1-811
2006,HB369,51.1-206
2006,HB369,51.1-216
2006,HB369,51.1-138
2006,HB370,15.2-1209.1
2006,HB371,18.2-416
2006,HB376,24.2-500
2006,HB378,53.1-120
2006,HB379,17.1-281
2006,HB380,15.2-1127
2006,HB382,42.1-15.1
2006,HB383,59.1-437
2006,HB383,59.1-435
2006,HB383,59.1-436
2006,HB384,22.1-5
2006,HB387,18.2-340.19
2006,HB387,18.2-340.34:1
2006,HB387,18.2-340.22
2006,HB387,18.2-340.16
2006,HB387,18.2-340.33
2006,HB390,58.1-609.1
2006,HB392,22.1-8
2006,HB393,55-79.94
2006,HB394,58.1-339.8
2006,HB395,58.1-1001
2006,HB396,59.1-543
2006,HB397,25.1-203
2006,HB398,18.2-60.3
2006,HB399,33.1-346
2006,HB400,2.2-115
2006,HB400,2.2-2238.1
2006,HB401,53.1-41
2006,HB401,63.2-1952
2006,HB401,20-108.1
2006,HB401,63.2-1960
2006,HB403,38.2-6300
2006,HB405,46.2-1053
2006,HB406,51.1-142.2
2006,HB407,58.1-3
2006,HB407,58.1-202
2006,HB408,15.2-1800
2006,HB408,15.2-1814
2006,HB411,62.1-44.15:02
2006,HB413,32.1-69.3
2006,HB414,19.2-163.03
