District,Year
SD10,2015
SD13,2015
HD2,2015
HD34,2015
HD87,2015
HS7,2016
HS8,2016
HS12,2016
HS17,2016
HD27,2016
HD28,2016
HD40,2016
HD84,2016
HD94,2016
HD10,2016
HD21,2016
HD62,2016
HD68,2016
HD72,2016
HD73,2016
HD85,2016
HD100,2016
HD27,2017
HD28,2017
HD40,2017
HD84,2017
HD94,2017
HD10,2017
HD21,2017
HD62,2017
HD68,2017
HD72,2017
HD73,2017
HD85,2017
HD100,2017
HS7,2017
HS8,2017
HS12,2017
HS17,2017
HD10,2018
HD31,2018
HD73,2018
HD75,2018
HD85,2018
HD27,2018
HD28,2018
HD40,2018
HD81,2018
HD83,2018
HD84,2018
HD100,2018
HS7,2018
HS8,2018
HS12,2018
HS17,2018
HS7,2019
HS8,2019
HS12,2019
HS17,2019
HD10,2019
HD31,2019
HD73,2019
HD75,2019
HD85,2019
HD27,2019
HD28,2019
HD40,2019
HD81,2019
HD83,2019
HD84,2019
HD100,2019
HD10,2020
HD21,2020
HD28,2020
HD31,2020
HD40,2020
HD63,2020
HD73,2020
HD75,2020
HD83,2020
HD85,2020
HD91,2020
HD93,2020
HD27,2020
HD66,2020
HD10,2021
HD21,2021
HD28,2021
HD31,2021
HD40,2021
HD63,2021
HD73,2021
HD75,2021
HD83,2021
HD85,2021
HD91,2021
HD93,2021
HD27,2021
HD66,2021
