"year","committee","pass","fail"
2015,"H-E",41,37
2015,"H-CJ",1,2
2015,"H-HWI",1,1
2015,"H-T",2,0
2015,"H-ST",0,2
2015,"H-MPP",1,1
2015,"H-R",1,2
2015,"S-EH",38,11
2015,"S-CJ",3,2
2015,"S-F",2,1
2015,"S-T",2,0
2015,"S-LG",0,1
2015,"H-GL",0,0
2015,"H-F",0,0
2015,"H-A",5,8
2015,"H-ACNR",0,0
2015,"S-R",1,0
2015,"S-RSS",2,0
2015,"S-GLT",0,0
2015,"H-PS",0,0
2015,"H-CTI",0,0
2015,"H-CCTI",0,0
2015,"S-J",0,0
2015,"S-H",0,0
2015,"S-FA",0,0
2015,"H-CL",0,0
2015,"H-PE",0,0
2015,"S-CL",0,0
2015,"S-PE",0,0
2015,"S-E",0,0
2015,"S-ACNR",0,0
2015,"S-A",0,0
2016,"H-E",39,29
2016,"H-CJ",0,5
2016,"H-HWI",1,0
2016,"H-T",0,0
2016,"H-ST",0,0
2016,"H-MPP",0,4
2016,"H-R",2,4
2016,"S-EH",35,13
2016,"S-CJ",2,2
2016,"S-F",3,2
2016,"S-T",0,0
2016,"S-LG",0,0
2016,"H-GL",1,2
2016,"H-F",0,1
2016,"H-A",2,4
2016,"H-ACNR",0,1
2016,"S-R",4,0
2016,"S-RSS",0,0
2016,"S-GLT",1,0
2016,"H-PS",0,0
2016,"H-CTI",0,0
2016,"H-CCTI",0,0
2016,"S-J",0,0
2016,"S-H",0,0
2016,"S-FA",0,0
2016,"H-CL",0,0
2016,"H-PE",0,0
2016,"S-CL",0,0
2016,"S-PE",0,0
2016,"S-E",0,0
2016,"S-ACNR",0,0
2016,"S-A",0,0
2017,"H-E",38,13
2017,"H-CJ",1,6
2017,"H-HWI",1,2
2017,"H-T",0,1
2017,"H-ST",0,0
2017,"H-MPP",0,1
2017,"H-R",1,4
2017,"S-EH",29,20
2017,"S-CJ",4,0
2017,"S-F",4,1
2017,"S-T",0,0
2017,"S-LG",0,0
2017,"H-GL",0,1
2017,"H-F",0,0
2017,"H-A",4,7
2017,"H-ACNR",0,0
2017,"S-R",1,0
