Bill,Com,Sub,Pass Com,Incorporated,Amd/Sub,Pass Floor,Com,Sub,Pass Com,Passed Floor 2,Returned,To Gov,Returned,Signed by Gov,Disposition
HJ572,H-R,x,0,0,,,,,,,,,,,DiC
HJ672,H-R,x,0,0,,,,,,,,,,,DiC
HB575,H-CL,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB576,H-CL ,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB908,H-CL,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1285,H-CL ,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1286,H-CL ,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1454,H-ACNR,x,1,0,0,1,S-ACNR,x,1,1,1,1,0,1,PiL
HB1465,H-CL ,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1619,H-ACNR,Chesapeake,1,0,0,1,S-ACNR,x,1,1,0,1,0,1,PiL
HB1632,H-F,#2,0,0,,,,,,,,,,,DiC
HB1636,H-CL,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1703,H-CL,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1712,H-GL,#2,1,0,1,1,S-GLT,x,1,1,0,1,0,1,PiL
HB1800,H-CL,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1859,H-ACNR,Chesapeake,0,0,,,,,,,,,,,DiC
HB1860,H-ACNR,Chesapeake,0,0,,,,,,,,,,,DiC
HB1861,H-ACNR,Natural Resources,0,0,,,,,,,,,,,DiC
HB1870,H-ACNR,Chesapeake,0,0,,,,,,,,,,,DiC
HB1891,H-F,#1,0,0,,,,,,,,,,,DiC
HB1964,H-GL; H-A,#4; General Government & Capital Outlay,0,0,,,,,,,,,,,DiC
HB1988,H-GL; H-A,#4; General Government & Capital Outlay,0,0,,,,,,,,,,,DiC
HB1993,H-T,#4,1,0,1,1,S-T,x,1,1,0,1,0,1,PiL
HB2005,H-T,#1,0,0,,,,,,,,,,,DiC
HB2018,H-CL,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB2089,H-E,Elementary and Secondary Education,0,0,,,,,,,,,,,DiC
HB2112,H-CL,Special Subcommittee on Energy,0,0,,,,,,,,,,,DiC
HB1389,H-GL,#2,0,0,,,,,,,,,,,DiC
HB1438,H-CL,#2,0,0,,,,,,,,,,,DiC
HB1573,H-ACNR,Chesapeake,1,0,1,1,S-ACNR,x,1,1,0,1,0,1,PiL
HB1575,H-ACNR,Chesapeake,0,0,,,,,,,,,,,DiC
HB1678,H-GL,#2,1,0,1,1,S-GLT,x,0,,,,,,DiS/DiC
HB1679,H-ACNR,Natural Resources,1,0,1,1,S-ACNR,x,0,,,,,,DiS/DiC
HB1766,H-CL,x,1,0,0,1,S-CL,x,1,1,1,1,0,1,PiL
HB1917,H-F,#3,0,0,,,,,,,,,,,DiC
HB1974,H-CL; H-A,"; Commerce, Agriculture, Natural Resources and Technology",1,0,0,1,S-ACNR; S-F,x,1,1,1,0,,,DiH
HB2008,H-ACNR,Chesapeake,0,0,,,,,,,,,,,DiC
HB2198,H-F,x,1,0,1,1,S-F,x,1,1,0,1,0,0,V
HB2291,H-CL,x,1,0,1,1,S-CL,x,1,1,1,1,0,1,PiL
HB2303,H-CL,Special Subcommittee on Energy,1,0,1,1,S-CL,x,1,1,0,1,0,1,PiL
HB2390,H-CL,Special Subcommittee on Energy,1,0,1,1,S-CL,x,1,1,0,1,1,1,PiL
HB618,H-CL,Special Subcommittee on Energy,0,0,0,0,,,,,,,,,DiC
HB1509,H-ACNR,Natural Resources,1,0,1,1,S-ACNR,x,1,1,0,1,0,1,PiL
HB1574,H-ACNR,Chesapeake,1,0,1,1,S-ACNR,x,1,1,0,1,0,1,PiL
HB1600,H-ACNR,Natural Resources,1,0,1,1,S-ACNR,x,1,1,0,1,0,1,PiL
HB1671,H-CL,,1,0,1,1,S-CL,x,1,1,0,1,1,1,PiL
HB1760,H-CL,,1,0,0,1,S-CL,x,1,1,1,1,1,1,PiL
HB2124,H-CL; H-CJ,; Civil Law,0,0,0,0,,,,,,,,,
HB2169,H-F,#2,1,0,0,1,S-F,x,1,1,0,1,0,1,PiL
HB2200,H-ACNR,Natural Resources,1,0,0,1,S-ACNR,x,1,1,0,1,0,1,PiL
HB2320,H-ACNR,Chesapeake,0,0,0,0,,,,,,,,,
HB2349,H-ACNR,Agriculture,0,0,0,0,,,,,,,,,
HB2384,H-HWI,#3,0,0,0,0,,,,,,,,,
,,,,,,,,,,,,,,,
SJ297,S-R,x,0,0,,,,,,,,,,,DiC
SB140,S-CL,x,0,0,,,,,,,,,,,DiC
SB142,S-F,x,0,0,,,,,,,,,,,DiC
SB910,S-ACNR,x,1,0,0,1,H-ACNR,x,1,1,0,1,0,1,PiL
SB911,S-ACNR,x,1,0,0,1,H-ACNR,x,1,1,0,1,0,1,PiL
SB917,S-CL,Renewable Energy,0,1,,,,,,,,,,,Inc
